"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No vehicle available","Margin of Error!!Total!!No vehicle available","Estimate!!Total!!1 vehicle available","Margin of Error!!Total!!1 vehicle available","Estimate!!Total!!2 vehicles available","Margin of Error!!Total!!2 vehicles available","Estimate!!Total!!3 vehicles available","Margin of Error!!Total!!3 vehicles available","Estimate!!Total!!4 or more vehicles available","Margin of Error!!Total!!4 or more vehicles available","Estimate!!Total!!1-person household","Margin of Error!!Total!!1-person household","Estimate!!Total!!1-person household!!No vehicle available","Margin of Error!!Total!!1-person household!!No vehicle available","Estimate!!Total!!1-person household!!1 vehicle available","Margin of Error!!Total!!1-person household!!1 vehicle available","Estimate!!Total!!1-person household!!2 vehicles available","Margin of Error!!Total!!1-person household!!2 vehicles available","Estimate!!Total!!1-person household!!3 vehicles available","Margin of Error!!Total!!1-person household!!3 vehicles available","Estimate!!Total!!1-person household!!4 or more vehicles available","Margin of Error!!Total!!1-person household!!4 or more vehicles available","Estimate!!Total!!2-person household","Margin of Error!!Total!!2-person household","Estimate!!Total!!2-person household!!No vehicle available","Margin of Error!!Total!!2-person household!!No vehicle available","Estimate!!Total!!2-person household!!1 vehicle available","Margin of Error!!Total!!2-person household!!1 vehicle available","Estimate!!Total!!2-person household!!2 vehicles available","Margin of Error!!Total!!2-person household!!2 vehicles available","Estimate!!Total!!2-person household!!3 vehicles available","Margin of Error!!Total!!2-person household!!3 vehicles available","Estimate!!Total!!2-person household!!4 or more vehicles available","Margin of Error!!Total!!2-person household!!4 or more vehicles available","Estimate!!Total!!3-person household","Margin of Error!!Total!!3-person household","Estimate!!Total!!3-person household!!No vehicle available","Margin of Error!!Total!!3-person household!!No vehicle available","Estimate!!Total!!3-person household!!1 vehicle available","Margin of Error!!Total!!3-person household!!1 vehicle available","Estimate!!Total!!3-person household!!2 vehicles available","Margin of Error!!Total!!3-person household!!2 vehicles available","Estimate!!Total!!3-person household!!3 vehicles available","Margin of Error!!Total!!3-person household!!3 vehicles available","Estimate!!Total!!3-person household!!4 or more vehicles available","Margin of Error!!Total!!3-person household!!4 or more vehicles available","Estimate!!Total!!4-or-more-person household","Margin of Error!!Total!!4-or-more-person household","Estimate!!Total!!4-or-more-person household!!No vehicle available","Margin of Error!!Total!!4-or-more-person household!!No vehicle available","Estimate!!Total!!4-or-more-person household!!1 vehicle available","Margin of Error!!Total!!4-or-more-person household!!1 vehicle available","Estimate!!Total!!4-or-more-person household!!2 vehicles available","Margin of Error!!Total!!4-or-more-person household!!2 vehicles available","Estimate!!Total!!4-or-more-person household!!3 vehicles available","Margin of Error!!Total!!4-or-more-person household!!3 vehicles available","Estimate!!Total!!4-or-more-person household!!4 or more vehicles available","Margin of Error!!Total!!4-or-more-person household!!4 or more vehicles available",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","2498","131","23","27","498","115","1176","196","608","168","193","97","391","111","0","16","287","89","51","42","39","47","14","22","1007","166","12","19","169","86","542","140","256","106","28","33","549","162","0","16","18","25","274","132","174","76","83","77","551","117","11","19","24","30","309","122","139","90","68","35",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1937","109","383","137","832","169","637","166","52","53","33","42","1123","175","344","132","730","165","39","41","10","16","0","11","700","149","39","47","78","66","549","154","34","47","0","11","62","45","0","11","24","27","30","37","8","14","0","11","52","45","0","11","0","11","19","30","0","11","33","42",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1608","65","119","57","642","120","604","123","219","80","24","23","643","97","119","57","456","99","62","60","0","11","6","9","473","102","0","11","144","66","250","76","79","54","0","11","240","66","0","11","20","27","142","66","78","42","0","11","252","75","0","11","22","26","150","55","62","49","18","21",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2053","124","263","125","1207","200","417","145","116","68","50","58","1084","208","163","99","892","195","16","23","13","22","0","11","640","174","44","48","235","122","309","132","52","45","0","11","160","96","56","49","43","69","28","34","33","51","0","11","169","72","0","11","37","58","64","54","18","23","50","58",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1456","66","9","13","432","84","682","113","222","76","111","57","433","87","0","11","363","81","70","43","0","11","0","11","682","114","0","11","60","49","430","93","140","62","52","50","198","95","0","11","4","7","88","65","67","57","39","31","143","50","9","13","5","8","94","51","15","15","20","19",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1338","84","10","16","771","128","425","103","119","52","13","18","585","110","0","11","508","106","67","38","10","14","0","11","473","111","0","11","188","96","250","81","35","28","0","11","101","59","10","16","21","23","53","51","17","20","0","11","179","65","0","11","54","53","55","29","57","40","13","18",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1705","102","65","63","824","131","702","125","84","53","30","46","758","113","8","13","639","114","111","52","0","11","0","11","521","152","50","58","92","69","361","148","18","20","0","11","226","93","7","13","33","32","96","59","60","53","30","46","200","95","0","11","60","57","134","80","6","12","0","11",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1309","102","51","47","453","116","539","113","210","72","56","38","336","106","31","42","248","101","29","23","28","42","0","11","425","104","7","10","86","55","255","90","70","42","7","13","283","83","0","11","80","52","112","54","69","48","22","25","265","84","13","19","39","47","143","79","43","33","27","26",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2287","134","244","96","1173","240","523","149","305","168","42","45","1011","199","177","67","776","199","44","40","14","24","0","16","498","143","15","24","232","105","155","78","96","107","0","16","280","128","0","16","57","55","145","100","78","76","0","16","498","138","52","67","108","82","179","94","117","118","42","45",
