"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1882","419","139","104","1118","397","535","132","38","43","52","47","1303","410","139","104","1072","396","68","62","24","39","0","12","421","130","0","12","46","32","362","121","0","12","13","24","93","67","0","12","0","12","79","68","14","19","0","12","65","68","0","12","0","12","26","41","0","12","39","40",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1763","286","113","72","621","120","792","292","177","81","60","39","699","112","113","72","533","114","49","41","4","6","0","12","489","130","0","12","65","56","296","103","91","68","37","39","297","269","0","12","13","18","260","267","24","22","0","12","278","60","0","12","10","17","187","59","58","42","23","22",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2330","461","539","452","1263","209","431","173","52","47","45","33","1299","473","473","444","761","253","65","75","0","12","0","12","749","216","26","31","367","161","339","164","17","29","0","12","240","137","40","47","135","117","18","28","35","44","12","23","42","32","0","12","0","12","9","19","0","12","33","33",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1596","240","0","12","366","86","869","221","234","87","127","54","428","91","0","12","356","83","56","24","0","12","16","23","787","244","0","12","0","12","645","235","109","48","33","39","205","87","0","12","10","15","64","42","97","71","34","24","176","47","0","12","0","12","104","46","28","22","44","24",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1285","112","28","38","663","132","507","105","87","57","0","12","557","120","28","38","465","116","59","38","5","9","0","12","490","114","0","12","164","71","320","99","6","10","0","12","124","64","0","12","21","23","58","38","45","43","0","12","114","51","0","12","13","16","70","46","31","33","0","12",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1529","136","101","85","781","143","478","133","138","75","31","29","710","150","50","66","505","119","131","79","24","28","0","12","419","111","51","56","110","62","230","96","18","28","10","16","244","116","0","12","125","78","83","68","36","34","0","12","156","85","0","12","41","62","34","34","60","54","21","25",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","2628","505","62","65","759","487","944","230","632","262","231","106","736","450","62","65","591","474","47","42","36","42","0","17","897","190","0","17","127","104","529","130","188","104","53","47","406","172","0","17","41","46","211","172","128","76","26","35","589","243","0","17","0","17","157","88","280","229","152","80",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","340","37","0","12","56","61","181","80","94","69","9","17","56","61","0","12","56","61","0","12","0","12","0","12","176","58","0","12","0","12","127","63","40","40","9","17","10","16","0","12","0","12","10","16","0","12","0","12","98","34","0","12","0","12","44","26","54","40","0","12",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1466","165","28","29","516","118","652","132","224","133","46","32","426","108","28","29","333","116","50","52","15","24","0","12","473","129","0","12","105","47","314","118","35","37","19","21","152","74","0","12","36","50","78","48","22","22","16","19","415","126","0","12","42","57","210","63","152","124","11","15",
