"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","3789","332","3386","359","3219","349","167","96","128","90","39","36","0","16","0","16","0","16","1","2","1","2","0","16","0","16","0","16","0","16","0","16","14","22","12","20","60","57","40","44","276","126",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1645","218","1597","213","1529","212","68","66","36","43","32","49","0","11","0","11","0","11","19","28","19","28","0","11","0","11","0","11","0","11","0","11","0","11","9","16","10","17","10","17","0","11",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2022","215","1884","198","1774","196","110","63","83","50","0","11","27","35","0","11","0","11","27","43","27","43","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","50","76","52","42",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2186","277","2062","273","2006","273","56","48","56","48","0","11","0","11","0","11","0","11","16","26","16","26","0","11","0","11","0","11","0","11","0","11","0","11","0","11","36","40","72","89","0","11",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1751","195","1656","192","1522","181","134","75","107","72","27","28","0","11","0","11","0","11","15","20","13","18","2","4","0","11","0","11","0","11","0","11","10","15","0","11","0","11","11","17","59","37",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1752","156","1667","166","1552","190","115","66","102","61","0","11","0","11","0","11","13","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","10","35","45","45","32",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1959","297","1930","301","1747","285","183","130","104","84","60","91","5","9","0","11","14","22","19","21","10","16","0","11","9","14","0","11","0","11","0","11","0","11","0","11","0","11","10","16","0","11",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1940","281","1849","284","1432","198","417","252","269","153","7","10","96","149","0","11","45","73","10","15","10","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","24","0","11","63","53",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2666","486","2535","458","1850","351","685","321","622","297","63","78","0","16","0","16","0","16","61","76","61","76","0","16","0","16","0","16","0","16","0","16","0","16","0","16","31","49","0","16","39","38",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","2798","290","2688","303","2308","274","380","108","323","100","23","28","23","27","0","16","11","19","36","32","36","32","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","74","76",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","3030","454","2798","365","2507","325","291","141","256","129","35","58","0","16","0","16","0","16","94","73","94","73","0","16","0","16","0","16","0","16","0","16","0","16","0","16","42","66","56","81","40","49",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2890","580","2497","534","1632","331","865","434","538","348","78","93","248","285","1","2","0","16","216","203","216","203","0","16","0","16","0","16","0","16","0","16","0","16","0","16","83","94","69","91","25","31",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1702","211","1554","220","1399","198","155","102","148","103","7","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","74","123","0","11","74","54",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","2148","377","1966","326","1698","292","268","128","268","128","0","11","0","11","0","11","0","11","51","47","51","47","0","11","0","11","0","11","0","11","0","11","0","11","26","42","34","44","0","11","71","82",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","2543","253","2419","247","2218","280","201","96","173","97","9","15","19","22","0","11","0","11","47","49","47","49","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","53","69","24","19",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","2937","271","2770","281","2539","265","231","101","168","88","63","57","0","16","0","16","0","16","13","19","13","19","0","16","0","16","0","16","0","16","0","16","0","16","0","16","25","37","24","33","105","63",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","2930","403","2877","402","2245","372","632","347","584","340","0","16","0","16","0","16","48","79","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","16","27","20","33","17","27",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","2445","393","2368","376","2314","361","54","63","41","57","0","11","0","11","0","11","13","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","37","41","0","11","19","33","0","11","21","25",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1009","176","866","173","751","172","115","107","115","107","0","11","0","11","0","11","0","11","6","10","6","10","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","20","3","5","122","68",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1075","124","947","106","853","87","94","61","88","59","6","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","7","9","12","115","63",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2715","351","2517","388","2195","362","322","183","289","179","0","16","33","57","0","16","0","16","60","50","35","41","25","30","0","16","0","16","0","16","0","16","0","16","14","23","0","16","81","132","43","61",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1340","201","1198","178","1132","164","66","42","63","41","0","11","3","8","0","11","0","11","50","42","50","42","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","18","81","49",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","2070","276","1974","276","1899","276","75","49","65","49","10","16","0","11","0","11","0","11","10","16","0","11","0","11","10","16","0","11","0","11","0","11","0","11","8","13","6","9","0","11","72","40",
