"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","3921","299","3486","319","3283","333","203","118","164","111","39","34","0","16","0","16","0","16","1","2","1","2","0","16","0","16","0","16","0","16","0","16","13","21","12","18","62","59","16","25","331","98",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1827","222","1791","222","1774","221","17","29","17","29","0","11","0","11","0","11","0","11","17","26","17","26","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","15","10","17","0","11",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2041","240","1840","195","1665","192","175","80","141","76","10","15","24","29","0","11","0","11","30","48","30","48","0","11","0","11","0","11","0","11","26","30","0","11","0","11","0","11","72","101","73","49",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2155","258","2030","283","1992","282","38","41","38","41","0","11","0","11","0","11","0","11","16","26","16","26","0","11","0","11","0","11","0","11","0","11","0","11","0","11","53","54","38","47","18","29",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1797","196","1707","198","1586","186","121","84","90","70","31","34","0","11","0","11","0","11","14","21","12","20","2","5","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","17","63","34",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1768","188","1698","194","1604","204","94","55","83","51","0","11","0","11","0","11","11","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","8","15","53","34",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","2090","359","2006","319","1762","284","244","161","152","117","71","104","0","11","0","11","21","32","21","24","11","17","0","11","10","16","0","11","0","11","0","11","0","11","0","11","0","11","63","86","0","11",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2006","261","1906","269","1644","228","262","160","210","117","11","17","0","11","0","11","41","63","9","16","9","16","0","11","0","11","0","11","0","11","8","14","0","11","0","11","15","21","0","11","68","45",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2895","403","2724","406","2001","352","723","274","651","256","72","56","0","16","0","16","0","16","76","83","76","83","0","16","0","16","0","16","0","16","0","16","0","16","0","16","43","69","0","16","52","43",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","2809","283","2725","303","2297","281","428","137","336","125","41","39","39","34","0","16","12","18","8","12","8","12","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","76","66",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","3228","457","2952","406","2672","411","280","135","280","135","0","16","0","16","0","16","0","16","131","83","131","83","0","16","0","16","0","16","0","16","0","16","0","16","0","16","34","55","64","96","47","57",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2708","514","2231","480","1618","347","613","326","252","160","100","116","260","309","1","2","0","16","243","237","243","237","0","16","0","16","0","16","0","16","0","16","0","16","0","16","91","97","110","112","33","37",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1697","296","1506","262","1389","282","117","67","107","67","10","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","108","170","0","11","83","50",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","2183","341","2022","303","1778","282","244","118","233","120","11","19","0","11","0","11","0","11","39","43","39","43","0","11","0","11","0","11","0","11","0","11","0","11","26","41","28","35","9","15","59","60",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","2642","286","2507","282","2360","307","147","79","125","75","10","17","12","18","0","11","0","11","47","44","47","44","0","11","0","11","0","11","0","11","10","17","0","11","0","11","0","11","44","51","34","27",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","3004","285","2831","286","2661","277","170","96","112","76","58","54","0","16","0","16","0","16","1","3","1","3","0","16","0","16","0","16","0","16","0","16","0","16","0","16","32","38","36","40","104","70",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","2906","429","2834","405","2505","378","329","187","283","169","0","16","0","16","0","16","46","73","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","72","82","0","16",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","2161","382","2115","369","2053","360","62","72","62","72","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","28","31","49","0","11",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","958","176","868","170","790","152","78","90","78","90","0","11","0","11","0","11","0","11","6","11","6","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","7","81","44",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1083","114","969","106","872","90","97","63","89","62","8","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","6","11","15","99","59",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2868","452","2696","461","2387","423","309","209","269","203","0","16","40","64","0","16","0","16","42","48","42","48","0","16","0","16","0","16","0","16","0","16","0","16","34","41","0","16","61","100","35","52",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1292","144","1158","138","1103","132","55","33","38","27","0","11","5","12","12","18","0","11","42","35","42","35","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","11","87","41",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","2257","347","2131","341","2031","327","100","67","91","66","9","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","11","5","11","0","11","114","71",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1788","222","1662","232","1463","229","199","135","121","106","65","96","13","15","0","11","0","11","9","13","9","13","0","11","0","11","0","11","0","11","14","16","0","11","17","18","52","44","0","11","34","30",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","3251","391","3031","397","2716","400","315","147","273","134","32","42","0","16","0","16","10","17","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","35","42","72","59","0","16","113","114",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1885","175","1715","187","1666","187","49","41","40","35","0","11","8","12","1","2","0","11","1","2","1","2","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","31","35","138","68",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","2677","268","2589","277","2474","267","115","78","84","56","31","47","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","13","79","67",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","3734","329","3292","317","3026","334","266","165","264","164","0","16","0","16","2","4","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","22","0","16","0","16","428","154",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","1802","259","1633","250","1557","234","76","51","64","44","0","11","0","11","12","18","0","11","5","12","5","12","0","11","0","11","0","11","0","11","0","11","7","13","0","11","45","62","15","23","97","66",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","1469","187","1320","188","1226","182","94","63","94","63","0","11","0","11","0","11","0","11","16","19","9","15","7","11","0","11","0","11","0","11","0","11","0","11","22","23","0","11","10","14","101","53",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","1445","166","1358","160","1286","158","72","48","64","49","0","11","0","11","8","12","0","11","4","7","4","7","0","11","0","11","0","11","0","11","0","11","0","11","8","13","17","20","40","34","18","20",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","1439","152","1241","143","1150","147","91","76","7","12","0","11","0","11","0","11","84","78","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","14","26","19","48","49","0","11","116","59",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","1420","140","1211","128","1178","125","33","18","26","16","3","4","0","11","0","11","4","5","3","6","3","6","0","11","0","11","0","11","0","11","0","11","0","11","10","14","15","13","5","5","176","60",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","3296","333","2962","353","2610","330","352","216","321","211","31","39","0","16","0","16","0","16","1","5","1","5","0","16","0","16","0","16","0","16","0","16","0","16","0","16","96","84","0","16","237","125",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","2067","262","1898","221","1651","160","247","125","243","124","0","11","0","11","4","9","0","11","7","10","7","10","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","102","121","60","49",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","2353","455","2272","447","1820","331","452","229","334","206","50","42","68","108","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","48","74","33","36",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","1433","179","1150","161","1068","171","82","77","82","77","0","11","0","11","0","11","0","11","107","77","107","77","0","11","0","11","0","11","0","11","0","11","0","11","13","22","53","46","0","11","110","89",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","2312","282","2249","294","2033","342","216","129","119","83","8","16","89","102","0","11","0","11","3","5","3","5","0","11","0","11","0","11","0","11","0","11","0","11","1","2","1","3","0","11","58","43",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","1610","193","1453","195","1305","199","148","95","70","37","61","64","17","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","10","4","6","7","11","136","64",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","3066","310","2655","329","2592","320","63","60","45","54","0","16","18","28","0","16","0","16","14","22","14","22","0","16","0","16","0","16","0","16","0","16","0","16","15","24","60","75","55","53","267","128",
