"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1772","357","1715","358","1713","359","2","4","0","12","0","12","0","12","0","12","2","4","20","32","20","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","0","12","26","30",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2183","541","1921","442","1559","251","362","272","317","268","14","21","31","41","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","28","31","0","12","0","12","0","12","73","109","161","81",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2293","436","2115","454","2055","456","60","47","60","47","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","137","133","33","33","8","20",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1947","280","1793","274","1704","264","89","62","66","54","23","23","0","12","0","12","0","12","4","6","0","12","0","12","0","12","4","6","0","12","0","12","0","12","0","12","9","13","15","19","126","60",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1597","197","1487","197","1432","209","55","56","55","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","47","57","0","12","63","48",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1772","358","1691","295","1439","238","252","163","185","122","67","108","0","12","0","12","0","12","12","20","12","20","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","69","94","0","12",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","3840","683","3438","570","3379","565","59","76","47","74","12","21","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","19","32","0","17","15","23","368","274",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","421","103","280","68","203","55","77","42","77","42","0","12","0","12","0","12","0","12","1","2","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","20","0","12","130","75",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2162","311","1908","273","1792","264","116","80","108","79","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","13","0","12","54","62","13","24","22","38","158","113",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2282","444","2205","427","1877","309","328","226","242","192","86","105","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","50","78","0","17","27","33",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","3061","724","2955","723","2584","725","371","140","315","135","48","52","8","13","0","17","0","17","7","11","7","11","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","27","31","72","52",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","2895","434","2720","424","2423","435","297","212","226","149","71","90","0","17","0","17","0","17","98","82","98","82","0","17","0","17","0","17","0","17","0","17","0","17","0","17","68","78","0","17","9","16",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2820","744","2560","729","2368","707","192","131","167","126","23","39","0","17","2","4","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","144","148","65","95","51","69",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1700","402","1595","400","1462","414","133","79","133","79","0","12","0","12","0","12","0","12","24","43","24","43","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","81","67",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1722","303","1648","298","1417","285","231","141","219","142","12","22","0","12","0","12","0","12","20","32","20","32","0","12","0","12","0","12","0","12","0","12","0","12","31","48","7","12","9","14","7","13",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","2673","473","2507","455","2032","219","475","403","386","292","9","14","0","17","80","120","0","17","16","26","16","26","0","17","0","17","0","17","0","17","9","15","0","17","0","17","0","17","7","10","134","90",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","2934","419","2788","421","2604","429","184","84","174","85","10","17","0","17","0","17","0","17","2","6","2","6","0","17","0","17","0","17","0","17","15","29","0","17","0","17","37","46","0","17","92","64",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","3107","501","2877","481","2615","507","262","202","215","169","0","17","0","17","0","17","47","80","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","26","48","204","208",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","2023","283","1889","287","1814","299","75","83","75","83","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","59","95","40","61","35","56",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1352","510","1260","517","1189","516","71","49","71","49","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","11","85","53",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1203","228","1065","220","1009","215","56","28","42","24","14","17","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","8","0","12","5","7","9","14","119","101",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2800","443","2687","456","2549","449","138","105","100","90","0","17","38","64","0","17","0","17","23","37","23","37","0","17","0","17","0","17","0","17","0","17","0","17","38","45","0","17","0","17","52","59",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1320","372","1107","338","1057","336","50","29","34","23","4","8","6","12","6","11","0","12","39","47","39","47","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","10","168","123",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","2939","662","2585","614","2501","615","84","59","75","58","9","15","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","5","10","0","17","349","245",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1661","282","1531","264","1392","263","139","112","126","110","7","12","6","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","21","0","12","8","14","7","12","0","12","96","58",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","1677","345","1588","351","1558","351","30","34","30","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","30","44","0","12","59","57",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","1633","389","1526","366","1202","316","324","189","317","182","7","20","0","12","0","12","0","12","34","53","0","12","0","12","0","12","0","12","34","53","0","12","0","12","13","21","21","28","0","12","39","63",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1691","228","1460","198","1365","208","95","65","94","65","0","12","0","12","1","2","0","12","1","2","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","31","49","33","30","166","74",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","2583","287","2465","302","2321","321","144","92","117","75","27","38","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","28","10","16","86","53",
"1400000US18097320305","Census Tract 3203.05, Marion County, Indiana","1204","193","1021","205","980","208","41","50","23","40","18","29","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","183","113",
"1400000US18097320306","Census Tract 3203.06, Marion County, Indiana","2299","387","2037","375","1920","369","117","66","98","58","18","31","0","12","1","3","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","16","0","12","12","20","240","120",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","1626","263","1330","192","1126","194","204","127","142","87","34","69","0","12","28","47","0","12","6","12","6","12","0","12","0","12","0","12","0","12","0","12","14","22","0","12","12","16","0","12","264","160",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","1541","267","1256","169","1205","173","51","44","51","44","0","12","0","12","0","12","0","12","20","22","20","22","0","12","0","12","0","12","0","12","0","12","0","12","25","25","0","12","0","12","240","175",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","1589","325","1403","296","1360","292","43","40","13","20","19","30","0","12","11","16","0","12","2","5","2","5","0","12","0","12","0","12","0","12","0","12","0","12","11","17","14","15","45","31","114","72",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","1459","233","1175","204","1166","204","9","15","9","15","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","273","97",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","1211","97","998","87","949","84","49","19","33","18","6","7","0","12","0","12","10","8","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","9","7","7","19","17","181","42",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","3577","701","3185","678","2914","675","271","178","246","180","25","36","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","156","130","0","17","236","150",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","2189","384","1881","296","1535","231","346","153","308","146","34","42","0","12","4","8","0","12","51","80","51","80","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","89","112","168","144",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","2689","715","2526","661","2124","618","402","213","299","181","36","37","67","104","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","65","93","98","84",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","1540","408","1411","395","1265","374","146","134","146","134","0","12","0","12","0","12","0","12","33","53","33","53","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","96","103",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","2617","749","2119","350","1997","348","122","92","122","92","0","17","0","17","0","17","0","17","5","7","5","7","0","17","0","17","0","17","0","17","0","17","0","17","2","4","6","7","0","17","485","562",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","1801","324","1483","320","1362","316","121","72","71","43","40","41","10","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","6","8","9","0","12","304","104",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","2855","512","2175","295","2068","283","107","84","107","84","0","12","0","12","0","12","0","12","25","40","25","40","0","12","0","12","0","12","0","12","0","12","0","12","10","17","21","36","16","27","608","387",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","2152","266","1830","160","1723","173","107","75","80","65","27","32","0","12","0","12","0","12","4","7","4","7","0","12","0","12","0","12","0","12","9","13","0","12","0","12","16","20","0","12","293","182",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","3290","519","2831","488","2490","370","341","233","328","230","13","20","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","84","97","15","25","360","180",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","2749","418","2528","377","2411","372","117","89","64","66","53","66","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","147","191","0","17","74","73",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","2690","444","2330","390","2120","377","210","133","174","119","36","42","0","12","0","12","0","12","8","14","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","20","340","198",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","2061","200","1810","190","1764","177","46","37","46","37","0","12","0","12","0","12","0","12","19","20","19","20","0","12","0","12","0","12","0","12","0","12","0","12","26","26","21","24","0","12","185","79",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","2649","420","1749","284","1653","298","96","52","56","39","26","27","2","4","12","14","0","17","9","14","9","14","0","17","0","17","0","17","0","17","0","17","0","17","0","17","612","238","0","17","279","161",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","1726","508","1539","486","1402","472","137","82","123","80","14","15","0","12","0","12","0","12","66","93","66","93","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","31","0","12","87","51",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","1513","275","1215","256","960","254","255","197","215","191","38","59","2","4","0","12","0","12","29","28","29","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","42","246","131",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","1174","152","980","147","929","144","51","31","35","24","11","17","0","12","0","12","5","9","40","35","36","34","4","6","0","12","0","12","0","12","0","12","0","12","22","24","0","12","7","13","125","61",
"1400000US18097322300","Census Tract 3223, Marion County, Indiana","1674","359","1470","362","1396","351","74","66","66","64","0","12","8","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","23","23","0","12","12","14","169","66",
