service_id,date,exception_type
1806-Sunday-7-1806-0000001-,20180903,1
1810-Sunday-4-1810-0000001-,20190101,1
1810-Sunday-1-1810-0000001-,20190106,1
1810-Sunday-1-1810-0000001-,20181223,1
1810-Sunday-1-1810-0000001-,20181209,1
1810-Sunday-1-1810-0000001-,20181125,1
1810-Sunday-1-1810-0000001-,20181216,1
1810-Sunday-1-1810-0000001-,20181202,1
1810-Sunday-1-1810-0000001-,20181111,1
1810-Sunday-1-1810-0000001-,20181028,1
1810-Sunday-1-1810-0000001-,20181104,1
1810-Sunday-1-1810-0000001-,20181014,1
1810-Sunday-1-1810-0000001-,20181021,1
1810-Sunday-1-1810-0000001-,20181118,1
1810-Sunday-1-1810-0000001-,20190203,1
1810-Sunday-1-1810-0000001-,20190120,1
1810-Sunday-1-1810-0000001-,20190127,1
1810-Sunday-1-1810-0000001-,20190113,1
1810-Sunday-1-1810-0000001-,20181230,1
1810-Saturday-2-1810-0000010-,20190121,1
1806-Saturday-3-1806-0000010-,20181013,1
1806-Saturday-3-1806-0000010-,20181006,1
1806-Saturday-3-1806-0000010-,20180908,1
1806-Saturday-3-1806-0000010-,20180825,1
1806-Saturday-3-1806-0000010-,20180818,1
1806-Saturday-3-1806-0000010-,20180929,1
1806-Saturday-3-1806-0000010-,20180901,1
1806-Saturday-3-1806-0000010-,20180922,1
1806-Saturday-3-1806-0000010-,20180915,1
1810-Sunday-3-1810-0000001-,20181225,1
1810-Weekday-1-1810-1111100-,20181204,1
1810-Weekday-1-1810-1111100-,20181205,1
1810-Weekday-1-1810-1111100-,20181130,1
1810-Weekday-1-1810-1111100-,20181207,1
1810-Weekday-1-1810-1111100-,20181203,1
1810-Weekday-1-1810-1111100-,20181126,1
1810-Weekday-1-1810-1111100-,20181121,1
1810-Weekday-1-1810-1111100-,20181031,1
1810-Weekday-1-1810-1111100-,20181030,1
1810-Weekday-1-1810-1111100-,20181120,1
1810-Weekday-1-1810-1111100-,20181123,1
1810-Weekday-1-1810-1111100-,20190118,1
1810-Weekday-1-1810-1111100-,20190116,1
1810-Weekday-1-1810-1111100-,20190117,1
1810-Weekday-1-1810-1111100-,20190114,1
1810-Weekday-1-1810-1111100-,20190115,1
1810-Weekday-1-1810-1111100-,20190110,1
1810-Weekday-1-1810-1111100-,20190111,1
1810-Weekday-1-1810-1111100-,20181029,1
1810-Weekday-1-1810-1111100-,20181105,1
1810-Weekday-1-1810-1111100-,20181129,1
1810-Weekday-1-1810-1111100-,20181128,1
1810-Weekday-1-1810-1111100-,20181219,1
1810-Weekday-1-1810-1111100-,20181218,1
1810-Weekday-1-1810-1111100-,20181217,1
1810-Weekday-1-1810-1111100-,20181127,1
1810-Weekday-1-1810-1111100-,20181214,1
1810-Weekday-1-1810-1111100-,20181213,1
1810-Weekday-1-1810-1111100-,20181212,1
1810-Weekday-1-1810-1111100-,20181211,1
1810-Weekday-1-1810-1111100-,20181210,1
1810-Weekday-1-1810-1111100-,20190103,1
1810-Weekday-1-1810-1111100-,20190102,1
1810-Weekday-1-1810-1111100-,20190104,1
