stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.825102,11769,-86.121709,11769,,,,Keystone Ave & 38th St,0,
39.771065,51110,-86.128486,51110,,,,New York St & Randolph St,0,
39.771123,51113,-86.12558,51113,,,,New York St & Hamilton Ave,0,
39.805159,11762,-86.121503,11762,,,,Keystone Ave & 27th St,0,
39.807311,11763,-86.121524,11763,,,,Keystone Ave & 28th St,0,
39.794955,11760,-86.116578,11760,,,,Rural St & Roosevelt Ave,0,
39.803259,11761,-86.121483,11761,,,,Keystone Ave & 25th St,0,
39.814361,11766,-86.121578,11766,,,,Keystone Ave & 32nd St,0,
39.818687,11767,-86.121621,11767,,,,Keystone Ave & 34th St,0,
39.808815,11764,-86.121502,11764,,,,Keystone Ave & 29th St,0,
39.811168,11765,-86.121521,11765,,,,Keystone Ave & 30th St,0,
39.739234,12525,-86.149371,12525,,,,East St & Lagrande Ave,0,
39.781262,10709,-86.131685,10709,,,,10th St & Newman St,0,
39.781257,10708,-86.13355,10708,,,,10th St & Arsenal Ave,0,
39.73725,12524,-86.149151,12524,,,,Raymond St & East St,0,
39.780663,10703,-86.145327,10703,,,,10th St & College Ave,0,
39.780765,10702,-86.148576,10702,,,,10th St & East St,0,
39.780413,10701,-86.150093,10701,,,,Fort Wayne Ave & New Jersey St,0,
39.779291,10700,-86.151188,10700,,,,Fort Wayne Ave & Sahm St,0,
39.781244,10707,-86.135581,10707,,,,10th St & Oriental St,0,
39.781187,10706,-86.137403,10706,,,,10th St & Highland Ave,0,
39.781171,10704,-86.142555,10704,,,,10th St & Massachusetts Ave,0,
39.890164,52028,-86.145752,52028,,,,College Ave & 75th St,0,
39.741523,12526,-86.149405,12526,,,,East St & Beecher St,0,
39.894937,52029,-86.145804,52029,,,,College Ave & Private Dr - Indiana Blind School,0,
39.737622,12520,-86.140783,12520,,,,Raymond St & Barth Ave,0,
39.816331,50359,-86.180807,50359,,,,35th St & Clifton St,0,
39.737366,12522,-86.144391,12522,,,,Raymond St & Garfield Dr,0,
39.757482,11738,-86.119407,11738,,,,Hoyt Ave & Trowbridge St,0,
39.852649,11616,-86.145937,11616,,,,College Ave & 55th St,0,
39.851233,11617,-86.145923,11617,,,,College Ave & 54th St,0,
39.855359,11614,-86.145984,11614,,,,College Ave & Northview Ave,0,
39.859504,11612,-86.146059,11612,,,,College Ave & 58th St,0,
39.85731,11613,-86.146019,11613,,,,College Ave & 57th ST,0,
39.727733,53029,-86.152853,53029,,,,Madison Ave & Nelson Ave,0,
39.861121,11611,-86.146074,11611,,,,College Ave & Kessler Blvd E Dr,0,
39.791085,12121,-86.250723,12121,,,,Lynhurst Dr & Speedway Ave,0,
39.787749,12120,-86.250681,12120,,,,Lynhurst Dr & 16th St,0,
39.719761,53025,-86.148674,53025,,,,Madison Ave & Perry Ave,0,
39.79319,12122,-86.250759,12122,,,,Lynhurst Dr & 21st St,0,
39.803541,12125,-86.256015,12125,,,,Meadowood Dr & Moller Rd,0,
