"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","3510","396",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","4316","694",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","3945","527",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","3933","637",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","2330","338",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","3541","433",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","6200","906",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","1035","138",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","4817","672",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","5391","862",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","4960","895",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","6570","1012",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","8468","1352",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","3336","382",
"1400000US18097310309","Census Tract 3103.09; Marion County; Indiana","3141","510",
"1400000US18097310310","Census Tract 3103.10; Marion County; Indiana","5153","834",
"1400000US18097310311","Census Tract 3103.11; Marion County; Indiana","6165","1189",
"1400000US18097310312","Census Tract 3103.12; Marion County; Indiana","6198","749",
"1400000US18097320105","Census Tract 3201.05; Marion County; Indiana","4603","667",
"1400000US18097320106","Census Tract 3201.06; Marion County; Indiana","3556","1615",
"1400000US18097320107","Census Tract 3201.07; Marion County; Indiana","2015","494",
"1400000US18097320108","Census Tract 3201.08; Marion County; Indiana","4771","996",
"1400000US18097320109","Census Tract 3201.09; Marion County; Indiana","2694","425",
"1400000US18097320202","Census Tract 3202.02; Marion County; Indiana","5280","644",
"1400000US18097320203","Census Tract 3202.03; Marion County; Indiana","2927","338",
"1400000US18097320205","Census Tract 3202.05; Marion County; Indiana","1827","251",
"1400000US18097320206","Census Tract 3202.06; Marion County; Indiana","2507","512",
"1400000US18097320301","Census Tract 3203.01; Marion County; Indiana","3662","563",
"1400000US18097320303","Census Tract 3203.03; Marion County; Indiana","3541","667",
"1400000US18097320305","Census Tract 3203.05; Marion County; Indiana","2863","332",
"1400000US18097320306","Census Tract 3203.06; Marion County; Indiana","4101","421",
"1400000US18097320400","Census Tract 3204; Marion County; Indiana","3467","537",
"1400000US18097320500","Census Tract 3205; Marion County; Indiana","3216","504",
