"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","3207","532",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","4086","648",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","4324","539",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","3878","607",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","2619","344",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","3743","513",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","6636","1104",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","756","125",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","4487","673",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","4829","798",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","5170","821",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","6058","793",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","7961","1502",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","3263","465",
"1400000US18097310309","Census Tract 3103.09; Marion County; Indiana","3379","624",
"1400000US18097310310","Census Tract 3103.10; Marion County; Indiana","5220","886",
"1400000US18097310311","Census Tract 3103.11; Marion County; Indiana","6729","1251",
"1400000US18097310312","Census Tract 3103.12; Marion County; Indiana","6346","786",
"1400000US18097320105","Census Tract 3201.05; Marion County; Indiana","4431","631",
"1400000US18097320106","Census Tract 3201.06; Marion County; Indiana","3612","1488",
"1400000US18097320107","Census Tract 3201.07; Marion County; Indiana","2109","517",
"1400000US18097320108","Census Tract 3201.08; Marion County; Indiana","5054","733",
"1400000US18097320109","Census Tract 3201.09; Marion County; Indiana","2691","424",
"1400000US18097320202","Census Tract 3202.02; Marion County; Indiana","5238","641",
"1400000US18097320203","Census Tract 3202.03; Marion County; Indiana","2698","317",
"1400000US18097320205","Census Tract 3202.05; Marion County; Indiana","1996","261",
