"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","3025","602",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","3911","574",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","4256","656",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","3725","570",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","2694","293",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","3463","465",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","7242","1266",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","922","170",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","4261","597",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","5181","832",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","5765","1093",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","5040","786",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","7431","1708",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","3244","624",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","3681","519",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","5540","952",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","6823","1213",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","6664","769",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","4027","503",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","3707","1762",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","2169","493",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","5080","605",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","2533","361",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","5100","727",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","2569","355",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","2135","384",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","3375","546",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","3618","584",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","3214","335",
"1400000US18097320305","Census Tract 3203.05, Marion County, Indiana","2845","335",
"1400000US18097320306","Census Tract 3203.06, Marion County, Indiana","4112","496",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","2965","462",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","3273","534",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","2339","503",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","2032","269",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","2969","246",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","6607","1114",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","3840","676",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","6220","1284",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","3087","576",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","5224","1523",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","3579","526",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","4987","1035",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","2770","380",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","5196","685",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","5999","944",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","4159","606",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","3415","550",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","5467","947",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","3322","632",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","3045","548",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","2244","295",
"1400000US18097322300","Census Tract 3223, Marion County, Indiana","2417","389",
"1400000US18097322400","Census Tract 3224, Marion County, Indiana","2809","392",
"1400000US18097322500","Census Tract 3225, Marion County, Indiana","1559","250",
"1400000US18097322601","Census Tract 3226.01, Marion County, Indiana","2313","507",
"1400000US18097322602","Census Tract 3226.02, Marion County, Indiana","1726","403",
"1400000US18097322700","Census Tract 3227, Marion County, Indiana","1733","334",
"1400000US18097330103","Census Tract 3301.03, Marion County, Indiana","4441","691",
"1400000US18097330105","Census Tract 3301.05, Marion County, Indiana","4718","747",
"1400000US18097330106","Census Tract 3301.06, Marion County, Indiana","4915","1105",
"1400000US18097330107","Census Tract 3301.07, Marion County, Indiana","5430","526",
"1400000US18097330108","Census Tract 3301.08, Marion County, Indiana","4286","887",
"1400000US18097330109","Census Tract 3301.09, Marion County, Indiana","4970","963",
"1400000US18097330203","Census Tract 3302.03, Marion County, Indiana","5479","591",
"1400000US18097330204","Census Tract 3302.04, Marion County, Indiana","7276","1281",
"1400000US18097330206","Census Tract 3302.06, Marion County, Indiana","5324","821",
"1400000US18097330208","Census Tract 3302.08, Marion County, Indiana","2807","419",
"1400000US18097330210","Census Tract 3302.10, Marion County, Indiana","6779","1038",
"1400000US18097330211","Census Tract 3302.11, Marion County, Indiana","4913","792",
"1400000US18097330212","Census Tract 3302.12, Marion County, Indiana","4968","862",
"1400000US18097330213","Census Tract 3302.13, Marion County, Indiana","4490","923",
"1400000US18097330401","Census Tract 3304.01, Marion County, Indiana","6216","784",
"1400000US18097330500","Census Tract 3305, Marion County, Indiana","6447","1223",
"1400000US18097330600","Census Tract 3306, Marion County, Indiana","7081","1121",
"1400000US18097330701","Census Tract 3307.01, Marion County, Indiana","2086","650",
"1400000US18097330702","Census Tract 3307.02, Marion County, Indiana","3708","795",
"1400000US18097330803","Census Tract 3308.03, Marion County, Indiana","3711","915",
"1400000US18097330804","Census Tract 3308.04, Marion County, Indiana","3247","788",
"1400000US18097330805","Census Tract 3308.05, Marion County, Indiana","2215","454",
"1400000US18097330806","Census Tract 3308.06, Marion County, Indiana","4746","1380",
"1400000US18097330900","Census Tract 3309, Marion County, Indiana","6149","972",
"1400000US18097331000","Census Tract 3310, Marion County, Indiana","3867","1056",
"1400000US18097340101","Census Tract 3401.01, Marion County, Indiana","5059","756",
"1400000US18097340102","Census Tract 3401.02, Marion County, Indiana","3560","651",
"1400000US18097340108","Census Tract 3401.08, Marion County, Indiana","2464","394",
"1400000US18097340111","Census Tract 3401.11, Marion County, Indiana","3416","293",
"1400000US18097340112","Census Tract 3401.12, Marion County, Indiana","4346","459",
"1400000US18097340113","Census Tract 3401.13, Marion County, Indiana","4263","763",
"1400000US18097340114","Census Tract 3401.14, Marion County, Indiana","3863","431",
"1400000US18097340115","Census Tract 3401.15, Marion County, Indiana","5933","772",
"1400000US18097340201","Census Tract 3402.01, Marion County, Indiana","3461","580",
"1400000US18097340202","Census Tract 3402.02, Marion County, Indiana","4386","626",
"1400000US18097340301","Census Tract 3403.01, Marion County, Indiana","3788","962",
"1400000US18097340302","Census Tract 3403.02, Marion County, Indiana","5088","1118",
"1400000US18097340400","Census Tract 3404, Marion County, Indiana","3720","610",
"1400000US18097340500","Census Tract 3405, Marion County, Indiana","6138","848",
"1400000US18097340600","Census Tract 3406, Marion County, Indiana","5457","989",
"1400000US18097340700","Census Tract 3407, Marion County, Indiana","4886","847",
"1400000US18097340800","Census Tract 3408, Marion County, Indiana","1633","223",
"1400000US18097340901","Census Tract 3409.01, Marion County, Indiana","3991","559",
"1400000US18097340903","Census Tract 3409.03, Marion County, Indiana","1515","465",
"1400000US18097340904","Census Tract 3409.04, Marion County, Indiana","4742","649",
"1400000US18097341000","Census Tract 3410, Marion County, Indiana","1626","223",
"1400000US18097341100","Census Tract 3411, Marion County, Indiana","2210","384",
"1400000US18097341200","Census Tract 3412, Marion County, Indiana","2627","720",
"1400000US18097341600","Census Tract 3416, Marion County, Indiana","1884","368",
"1400000US18097341701","Census Tract 3417.01, Marion County, Indiana","2825","595",
