"GEO_ID","NAME","B25035_001E","B25035_001M",
"Geography","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","1993","2",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1982","2",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1984","2",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","1987","2",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1984","1",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1993","2",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1986","2",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1991","2",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","1988","3",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","1993","2",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","1986","3",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","1972","3",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1990","4",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1978","2",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","1991","2",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1992","2",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","1985","2",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","1982","2",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1974","2",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1973","5",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","1974","2",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1969","2",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","1979","5",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1978","4",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","1986","5",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1980","3",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","1985","2",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","1980","4",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","1971","3",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","1965","2",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","1953","2",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","1955","3",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","1958","2",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","1968","2",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","1977","3",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","1969","3",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","1957","2",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","1973","3",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","1961","4",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","1939-","***",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","1948","2",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","1961","4",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","1968","3",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","1955","2",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","1939-","***",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","1939-","***",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","1939-","***",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","1939-","***",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","1939-","***",
"1400000US18097322300","Census Tract 3223, Marion County, Indiana","1939-","***",
"1400000US18097322400","Census Tract 3224, Marion County, Indiana","1953","3",
"1400000US18097322500","Census Tract 3225, Marion County, Indiana","1946","3",
"1400000US18097322600","Census Tract 3226, Marion County, Indiana","1981","8",
"1400000US18097322700","Census Tract 3227, Marion County, Indiana","1958","2",
"1400000US18097330103","Census Tract 3301.03, Marion County, Indiana","1986","1",
"1400000US18097330105","Census Tract 3301.05, Marion County, Indiana","1979","2",
"1400000US18097330106","Census Tract 3301.06, Marion County, Indiana","1985","2",
"1400000US18097330107","Census Tract 3301.07, Marion County, Indiana","1982","2",
"1400000US18097330108","Census Tract 3301.08, Marion County, Indiana","1988","2",
"1400000US18097330109","Census Tract 3301.09, Marion County, Indiana","1985","1",
"1400000US18097330202","Census Tract 3302.02, Marion County, Indiana","1995","2",
"1400000US18097330203","Census Tract 3302.03, Marion County, Indiana","1989","1",
"1400000US18097330204","Census Tract 3302.04, Marion County, Indiana","1996","2",
"1400000US18097330206","Census Tract 3302.06, Marion County, Indiana","1996","1",
"1400000US18097330208","Census Tract 3302.08, Marion County, Indiana","1989","2",
"1400000US18097330209","Census Tract 3302.09, Marion County, Indiana","1994","2",
"1400000US18097330401","Census Tract 3304.01, Marion County, Indiana","1973","3",
"1400000US18097330500","Census Tract 3305, Marion County, Indiana","1964","2",
"1400000US18097330600","Census Tract 3306, Marion County, Indiana","1959","2",
"1400000US18097330700","Census Tract 3307, Marion County, Indiana","1983","4",
"1400000US18097330803","Census Tract 3308.03, Marion County, Indiana","1971","2",
"1400000US18097330804","Census Tract 3308.04, Marion County, Indiana","1974","2",
"1400000US18097330805","Census Tract 3308.05, Marion County, Indiana","1965","7",
"1400000US18097330806","Census Tract 3308.06, Marion County, Indiana","1966","2",
"1400000US18097330900","Census Tract 3309, Marion County, Indiana","1969","4",
"1400000US18097331000","Census Tract 3310, Marion County, Indiana","1957","1",
"1400000US18097340101","Census Tract 3401.01, Marion County, Indiana","1975","2",
"1400000US18097340102","Census Tract 3401.02, Marion County, Indiana","1969","2",
"1400000US18097340108","Census Tract 3401.08, Marion County, Indiana","1974","1",
"1400000US18097340109","Census Tract 3401.09, Marion County, Indiana","1980","2",
"1400000US18097340110","Census Tract 3401.10, Marion County, Indiana","1985","2",
