"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","3081","388","2792","362","1993","368","719","240","0","13","70","65","0","13","0","13","10","15","0","13","10","15","289","279","0","13","0","13","0","13","0","13","0","13","0","13","289","279","247","267","42","82",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","4263","679","3853","726","1653","334","1586","341","21","24","53","70","0","13","103","119","437","364","0","13","437","364","410","224","12","28","0","13","0","13","16","26","0","13","114","112","268","192","268","192","0","13",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","4292","565","3788","587","1525","363","2130","709","0","13","15","26","0","13","0","13","118","124","0","13","118","124","504","346","219","312","0","13","0","13","0","13","0","13","285","246","0","13","0","13","0","13",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","3869","606","3515","573","2557","525","718","330","4","6","50","31","0","13","11","18","175","117","12","17","163","115","354","199","56","47","0","13","0","13","0","13","0","13","77","93","221","154","148","149","73","113",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","2283","286","2054","320","935","228","911","190","0","13","22","35","0","13","0","13","186","130","15","21","171","130","229","161","31","36","0","13","0","13","0","13","0","13","129","143","69","98","69","98","0","13",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","3263","374","2982","386","1166","198","1623","374","0","13","105","131","0","13","0","13","88","67","27","30","61","59","281","180","114","126","60","73","0","13","0","13","0","13","107","92","0","13","0","13","0","13",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","6111","847","5938","841","3711","835","1770","213","0","18","346","149","0","18","3","7","108","83","35","60","73","56","173","118","91","84","0","18","0","18","0","18","0","18","16","25","66","94","66","94","0","18",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","1036","156","989","149","702","137","124","132","0","13","163","186","0","13","0","13","0","13","0","13","0","13","47","57","21","32","0","13","0","13","0","13","0","13","0","13","26","46","26","46","0","13",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","4613","646","4051","639","1446","412","2045","474","0","13","457","406","0","13","0","13","103","122","0","13","103","122","562","365","211","261","0","13","57","101","0","13","0","13","294","212","0","13","0","13","0","13",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","5265","833","4149","640","1607","392","1742","613","0","18","445","369","0","18","69","104","286","232","0","18","286","232","1116","905","864","844","0","18","141","230","0","18","0","18","9","16","102","110","47","61","55","88",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","5280","929","4166","437","691","199","3111","424","0","18","113","94","0","18","24","40","227","187","32","52","195","167","1114","847","41","69","17","26","0","18","0","18","0","18","844","657","212","216","212","216","0","18",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","6784","983","4956","966","582","249","3988","933","0","18","308","273","0","18","0","18","78","98","0","18","78","98","1828","818","339","268","360","513","0","18","0","18","0","18","721","683","408","315","408","315","0","18",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","8597","1266","6739","1187","452","203","5902","1212","0","18","26","57","0","18","0","18","359","426","0","18","359","426","1858","930","464","459","0","18","12","25","0","18","0","18","467","376","915","832","915","832","0","18",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","3414","452","2766","461","796","256","1797","507","0","13","101","135","0","13","9","14","63","64","27","33","36","58","648","405","139","200","0","13","0","13","0","13","0","13","257","256","252","303","252","303","0","13",
