"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","3207","532","2975","522","2426","474","432","245","0","13","104","89","0","13","0","13","13","15","0","13","13","15","232","233","0","13","0","13","0","13","0","13","0","13","0","13","232","233","203","223","29","56",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","4086","648","3704","684","1932","376","1234","362","18","28","41","56","0","13","105","131","374","374","0","13","374","374","382","245","85","114","9","17","0","13","17","27","0","13","160","161","111","117","111","117","0","13",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","4324","539","3928","564","1756","398","2054","604","0","13","37","61","0","13","0","13","81","87","0","13","81","87","396","342","317","329","20","32","0","13","0","13","0","13","59","96","0","13","0","13","0","13",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","3878","607","3665","595","2595","471","791","368","3","6","83","57","0","13","8","14","185","116","16","25","169","113","213","111","38","47","0","13","0","13","0","13","0","13","44","70","131","82","94","84","37","57",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","2619","344","2433","367","1091","220","1135","263","0","13","49","46","0","13","0","13","158","115","13","19","145","110","186","130","12","18","32","49","0","13","0","13","0","13","82","104","60","85","60","85","0","13",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","3743","513","3432","561","940","211","2222","606","0","13","58","82","0","13","0","13","212","150","9","17","203","150","311","157","159","129","47","65","0","13","0","13","0","13","105","89","0","13","0","13","0","13",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","6636","1104","6468","1121","4277","1081","1770","305","0","18","343","152","0","18","3","8","75","75","34","60","41","43","168","107","108","88","0","18","16","26","0","18","0","18","15","23","29","36","13","22","16","26",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","756","125","714","131","602","126","86","108","0","13","26","43","0","13","0","13","0","13","0","13","0","13","42","49","20","31","0","13","0","13","0","13","0","13","0","13","22","37","22","37","0","13",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","4487","673","3952","664","1627","377","2102","540","0","13","149","175","0","13","0","13","74","102","0","13","74","102","535","342","265","289","0","13","23","45","0","13","0","13","247","200","0","13","0","13","0","13",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","4829","798","3840","537","1522","389","1888","408","0","13","246","271","0","13","29","50","155","159","0","13","155","159","989","662","802","588","0","13","94","151","0","13","0","13","16","26","77","89","44","74","33","54",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","5170","821","4335","484","760","175","3212","447","0","18","156","124","0","18","0","18","207","154","0","18","207","154","835","716","54","87","17","26","0","18","0","18","0","18","576","543","188","198","188","198","0","18",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","6058","793","4944","894","660","221","3857","822","0","18","345","249","0","18","0","18","82","83","0","18","82","83","1114","571","393","361","289","429","0","18","0","18","0","18","218","173","214","235","214","235","0","18",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","7961","1502","6647","1563","384","247","5756","1426","0","18","116","109","0","18","0","18","391","440","0","18","391","440","1314","664","331","237","0","18","28","35","0","18","0","18","538","432","417","504","417","504","0","18",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","3263","465","2700","526","759","231","1534","482","0","13","110","130","0","13","9","14","288","303","33","37","255","298","563","322","142","148","0","13","0","13","0","13","0","13","397","310","24","38","24","38","0","13",
"1400000US18097310309","Census Tract 3103.09; Marion County; Indiana","3379","624","3270","652","631","348","2458","626","0","13","80","129","0","13","0","13","101","118","0","13","101","118","109","141","18","29","0","13","0","13","0","13","0","13","91","136","0","13","0","13","0","13",
"1400000US18097310310","Census Tract 3103.10; Marion County; Indiana","5220","886","4446","830","1594","364","2528","785","0","18","72","84","0","18","0","18","252","224","0","18","252","224","774","469","241","229","75","97","0","18","0","18","0","18","179","186","279","355","149","234","130","193",
"1400000US18097310311","Census Tract 3103.11; Marion County; Indiana","6729","1251","5822","986","1668","398","3880","1019","0","18","177","135","0","18","0","18","97","90","3","9","94","89","907","769","199","175","445","641","12","19","0","18","0","18","171","173","80","94","80","94","0","18",
"1400000US18097310312","Census Tract 3103.12; Marion County; Indiana","6346","786","5511","907","881","289","4280","913","0","18","130","153","0","18","96","169","124","160","0","18","124","160","835","554","249","350","0","18","0","18","0","18","0","18","449","452","137","194","137","194","0","18",
"1400000US18097320105","Census Tract 3201.05; Marion County; Indiana","4431","631","4320","638","1980","436","1742","747","0","13","96","107","0","13","406","507","96","83","37","60","59","56","111","120","72","97","0","13","0","13","0","13","0","13","15","31","24","51","24","51","0","13",
"1400000US18097320106","Census Tract 3201.06; Marion County; Indiana","3612","1488","3503","1503","1515","372","1834","1469","0","13","102","148","0","13","0","13","52","87","8","17","44","71","109","104","6","12","0","13","0","13","0","13","0","13","31","51","72","88","72","88","0","13",
"1400000US18097320107","Census Tract 3201.07; Marion County; Indiana","2109","517","2061","509","1801","517","143","72","0","13","62","61","0","13","0","13","55","68","0","13","55","68","48","39","16","15","0","13","0","13","0","13","0","13","0","13","32","36","22","34","10","15",
"1400000US18097320108","Census Tract 3201.08; Marion County; Indiana","5054","733","4821","792","1768","558","2749","800","0","18","118","144","0","18","0","18","186","145","0","18","186","145","233","250","212","245","0","18","0","18","0","18","0","18","0","18","21","33","21","33","0","18",
"1400000US18097320109","Census Tract 3201.09; Marion County; Indiana","2691","424","2624","420","2136","278","319","315","12","17","77","70","0","13","0","13","80","73","0","13","80","73","67","80","29","45","0","13","34","59","0","13","0","13","4","6","0","13","0","13","0","13",
"1400000US18097320202","Census Tract 3202.02; Marion County; Indiana","5238","641","5074","686","4248","678","139","122","0","18","372","251","0","18","43","61","272","153","71","64","201","144","164","141","122","130","0","18","0","18","0","18","0","18","2","5","40","40","40","40","0","18",
"1400000US18097320203","Census Tract 3202.03; Marion County; Indiana","2698","317","2587","318","1914","261","514","200","6","11","99","88","0","13","0","13","54","40","0","13","54","40","111","108","37","45","0","13","2","3","0","13","0","13","60","97","12","19","0","13","12","19",
"1400000US18097320205","Census Tract 3202.05; Marion County; Indiana","1996","261","1637","216","1271","247","312","122","0","13","28","34","26","25","0","13","0","13","0","13","0","13","359","149","79","94","0","13","0","13","0","13","0","13","202","36","78","102","58","100","20","31",
"1400000US18097320206","Census Tract 3202.06; Marion County; Indiana","3067","547","2799","546","1175","320","908","463","0","13","463","306","0","13","210","296","43","63","42","62","1","10","268","197","0","13","0","13","0","13","0","13","0","13","253","195","15","26","0","13","15","26",
"1400000US18097320301","Census Tract 3203.01; Marion County; Indiana","3657","551","3640","550","3230","490","14","23","0","13","40","43","0","13","143","217","213","192","24","36","189","189","17","21","11","16","0","13","0","13","0","13","0","13","0","13","6","12","6","12","0","13",
"1400000US18097320303","Census Tract 3203.03; Marion County; Indiana","3132","351","2877","368","1676","314","901","361","0","13","166","113","0","13","11","16","123","118","0","13","123","118","255","138","98","130","22","24","0","13","0","13","0","13","53","54","82","87","82","87","0","13",
"1400000US18097320305","Census Tract 3203.05; Marion County; Indiana","2845","354","2740","364","2452","395","238","158","0","13","14","21","0","13","0","13","36","47","0","13","36","47","105","116","69","105","0","13","16","26","0","13","0","13","20","31","0","13","0","13","0","13",
