"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","7282","588","6934","504","4614","467","1853","254","0","16","302","86","0","16","0","16","165","111","0","16","165","111","348","372","233","335","0","16","0","16","0","16","0","16","115","150","0","16","0","16","0","16",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","3038","269","2923","268","2126","244","699","202","0","11","71","98","0","11","0","11","27","42","0","11","27","42","115","79","78","66","0","11","0","11","0","11","0","11","27","41","10","17","0","11","10","17",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","3676","263","3499","283","1847","259","1439","169","0","11","159","91","0","11","0","11","54","46","0","11","54","46","177","165","15","25","19","21","0","11","0","11","0","11","117","152","26","38","0","11","26","38",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","3931","426","3138","394","1712","355","1249","391","0","11","17","28","0","11","0","11","160","186","0","11","160","186","793","435","226","205","14","27","0","11","0","11","0","11","403","381","150","176","0","11","150","176",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","3369","285","3253","291","2509","220","566","248","0","11","145","97","0","11","0","11","33","31","0","11","33","31","116","140","116","140","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","2891","254","2771","245","1258","250","1263","291","0","11","188","113","0","11","0","11","62","51","0","11","62","51","120","143","17","21","9","15","0","11","0","11","0","11","94","140","0","11","0","11","0","11",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","3787","321","3411","343","1228","291","1851","297","0","11","148","123","0","11","0","11","184","111","0","11","184","111","376","173","212","159","0","11","0","11","0","11","0","11","148","113","16","20","16","20","0","11",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","3578","405","3067","358","1319","231","1569","249","0","11","72","72","0","11","8","12","99","98","26","47","73","72","511","245","122","83","0","11","0","11","0","11","0","11","293","304","96","118","8","14","88","117",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","6120","467","5175","564","2022","395","2913","432","0","16","107","94","0","16","0","16","133","104","0","16","133","104","945","474","317","286","62","68","0","16","0","16","0","16","506","410","60","103","60","103","0","16",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","5886","508","5065","538","1071","182","3446","512","0","16","237","195","0","16","47","52","264","164","11","17","253","165","821","254","467","250","0","16","22","32","0","16","0","16","231","206","101","135","12","18","89","132",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","6760","675","5680","679","1052","250","3969","741","0","16","220","140","0","16","56","94","383","329","0","16","383","329","1080","458","491","338","30","35","0","16","0","16","0","16","521","357","38","44","18","29","20","35",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","6948","864","4864","626","546","144","3897","662","0","16","219","195","0","16","130","162","72","67","0","16","72","67","2084","817","262","191","19","33","0","16","0","16","0","16","1659","885","144","172","144","172","0","16",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","3651","509","2891","534","768","198","1850","521","5","8","55","46","0","11","0","11","213","214","0","11","213","214","760","374","106","146","0","11","0","11","0","11","0","11","597","383","57","95","0","11","57","95",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","3966","490","3344","484","609","199","2589","472","0","11","47","44","0","11","11","17","88","65","46","56","42","32","622","349","219","208","0","11","0","11","0","11","0","11","340","255","63","100","0","11","63","100",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","4840","356","4309","389","1441","187","2643","373","17","18","82","95","0","11","0","11","126","84","0","11","126","84","531","188","145","173","0","11","0","11","0","11","0","11","386","189","0","11","0","11","0","11",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","5643","387","5044","377","1245","179","3445","405","0","16","161","132","0","16","0","16","193","114","36","51","157","108","599","108","250","225","0","16","0","16","0","16","0","16","137","108","212","138","171","123","41","65",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","5892","723","4237","599","749","211","3206","603","0","16","38","62","0","16","0","16","244","179","0","16","244","179","1655","892","586","495","0","16","15","24","0","16","0","16","1054","775","0","16","0","16","0","16",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","4343","430","4086","458","2891","406","721","272","0","11","237","235","0","11","0","11","237","214","0","11","237","214","257","278","257","278","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
