"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","124240","20720",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","53885","4173",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","60219","3581",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","40398","4756",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","96178","7964",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","50143","5485",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","43712","3432",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","53425","10839",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","59113","10165",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","62451","10341",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","39573","3214",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","32276","2619",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","57177","11923",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","40000","4328",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","69073","4730",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","68081","5786",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","42302","6066",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","50076","13793",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","79375","20868",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","97569","11194",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","29011","7703",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","62031","14592",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","91477","17713",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","45754","4860",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","37256","5868",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","78582","8622",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","56615","11156",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","91250","14310",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","46406","8499",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","54542","7411",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","58424","17130",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","74091","11873",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","152500","19138",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","62250","7094",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","36639","6381",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","38204","6425",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","60743","6610",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","70567","11150",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","57906","10480",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","133750","21477",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","74565","14662",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","62911","7223",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","44653","11081",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","57400","9588",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","94063","16344",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","96250","31355",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","43750","12563",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","64089","4783",
