"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US18097331000","Census Tract 3310, Marion County, Indiana","36354","12425",
"1400000US18097340101","Census Tract 3401.01, Marion County, Indiana","49357","19144",
"1400000US18097340102","Census Tract 3401.02, Marion County, Indiana","34924","5078",
"1400000US18097340108","Census Tract 3401.08, Marion County, Indiana","37269","5368",
"1400000US18097340111","Census Tract 3401.11, Marion County, Indiana","77328","13504",
"1400000US18097340112","Census Tract 3401.12, Marion County, Indiana","44752","10759",
"1400000US18097340113","Census Tract 3401.13, Marion County, Indiana","45711","10701",
"1400000US18097340114","Census Tract 3401.14, Marion County, Indiana","79907","8569",
"1400000US18097340115","Census Tract 3401.15, Marion County, Indiana","41244","3817",
"1400000US18097340201","Census Tract 3402.01, Marion County, Indiana","52969","8385",
"1400000US18097340202","Census Tract 3402.02, Marion County, Indiana","38205","2282",
"1400000US18097340301","Census Tract 3403.01, Marion County, Indiana","38256","6674",
"1400000US18097340302","Census Tract 3403.02, Marion County, Indiana","33680","6917",
"1400000US18097340400","Census Tract 3404, Marion County, Indiana","43815","1941",
"1400000US18097340500","Census Tract 3405, Marion County, Indiana","34670","8973",
"1400000US18097340600","Census Tract 3406, Marion County, Indiana","44759","8381",
"1400000US18097340700","Census Tract 3407, Marion County, Indiana","38656","4678",
"1400000US18097340800","Census Tract 3408, Marion County, Indiana","58693","6977",
"1400000US18097340901","Census Tract 3409.01, Marion County, Indiana","75357","10811",
"1400000US18097340903","Census Tract 3409.03, Marion County, Indiana","47443","15268",
"1400000US18097340904","Census Tract 3409.04, Marion County, Indiana","47190","6543",
"1400000US18097341000","Census Tract 3410, Marion County, Indiana","65625","22767",
"1400000US18097341100","Census Tract 3411, Marion County, Indiana","39023","3878",
"1400000US18097341200","Census Tract 3412, Marion County, Indiana","32756","6360",
"1400000US18097341600","Census Tract 3416, Marion County, Indiana","22965","12553",
"1400000US18097341701","Census Tract 3417.01, Marion County, Indiana","22614","8442",
"1400000US18097341702","Census Tract 3417.02, Marion County, Indiana","45195","12769",
"1400000US18097341902","Census Tract 3419.02, Marion County, Indiana","58472","4660",
"1400000US18097341903","Census Tract 3419.03, Marion County, Indiana","34612","2563",
"1400000US18097341904","Census Tract 3419.04, Marion County, Indiana","36618","3143",
"1400000US18097342000","Census Tract 3420, Marion County, Indiana","59333","5468",
"1400000US18097342101","Census Tract 3421.01, Marion County, Indiana","54174","8270",
"1400000US18097342200","Census Tract 3422, Marion County, Indiana","41949","6561",
"1400000US18097342300","Census Tract 3423, Marion County, Indiana","44813","8722",
"1400000US18097342400","Census Tract 3424, Marion County, Indiana","54444","12923",
"1400000US18097342500","Census Tract 3425, Marion County, Indiana","35507","4010",
"1400000US18097342600","Census Tract 3426, Marion County, Indiana","31859","2662",
"1400000US18097350100","Census Tract 3501, Marion County, Indiana","41842","11731",
"1400000US18097350300","Census Tract 3503, Marion County, Indiana","25505","8196",
"1400000US18097350400","Census Tract 3504, Marion County, Indiana","47923","5268",
"1400000US18097350500","Census Tract 3505, Marion County, Indiana","26305","6107",
"1400000US18097350600","Census Tract 3506, Marion County, Indiana","27930","11780",
"1400000US18097350700","Census Tract 3507, Marion County, Indiana","15625","8567",
"1400000US18097350800","Census Tract 3508, Marion County, Indiana","19767","2387",
"1400000US18097350900","Census Tract 3509, Marion County, Indiana","37813","15518",
"1400000US18097351000","Census Tract 3510, Marion County, Indiana","27826","6533",
"1400000US18097351200","Census Tract 3512, Marion County, Indiana","33326","10706",
"1400000US18097351500","Census Tract 3515, Marion County, Indiana","41019","3238",
"1400000US18097351600","Census Tract 3516, Marion County, Indiana","76494","8287",
"1400000US18097351700","Census Tract 3517, Marion County, Indiana","72013","15481",
"1400000US18097351900","Census Tract 3519, Marion County, Indiana","35931","5896",
"1400000US18097352100","Census Tract 3521, Marion County, Indiana","27955","11241",
"1400000US18097352300","Census Tract 3523, Marion County, Indiana","29320","2918",
"1400000US18097352400","Census Tract 3524, Marion County, Indiana","32258","7507",
"1400000US18097352500","Census Tract 3525, Marion County, Indiana","33456","14044",
"1400000US18097352600","Census Tract 3526, Marion County, Indiana","27984","4655",
"1400000US18097352700","Census Tract 3527, Marion County, Indiana","32857","16586",
"1400000US18097352800","Census Tract 3528, Marion County, Indiana","34314","4267",
"1400000US18097353300","Census Tract 3533, Marion County, Indiana","43200","3133",
"1400000US18097353500","Census Tract 3535, Marion County, Indiana","31444","13726",
"1400000US18097353600","Census Tract 3536, Marion County, Indiana","33354","5233",
"1400000US18097354201","Census Tract 3542.01, Marion County, Indiana","73997","11402",
"1400000US18097354202","Census Tract 3542.02, Marion County, Indiana","61898","14865",
"1400000US18097354400","Census Tract 3544, Marion County, Indiana","61938","30837",
"1400000US18097354500","Census Tract 3545, Marion County, Indiana","40569","4497",
"1400000US18097354700","Census Tract 3547, Marion County, Indiana","25179","20688",
"1400000US18097354800","Census Tract 3548, Marion County, Indiana","37009","4743",
"1400000US18097354900","Census Tract 3549, Marion County, Indiana","27191","5483",
"1400000US18097355000","Census Tract 3550, Marion County, Indiana","26607","11430",
"1400000US18097355100","Census Tract 3551, Marion County, Indiana","13214","11829",
"1400000US18097355300","Census Tract 3553, Marion County, Indiana","37083","10099",
"1400000US18097355400","Census Tract 3554, Marion County, Indiana","33194","6110",
"1400000US18097355500","Census Tract 3555, Marion County, Indiana","49392","10350",
"1400000US18097355600","Census Tract 3556, Marion County, Indiana","28924","7423",
"1400000US18097355700","Census Tract 3557, Marion County, Indiana","27537","3814",
