"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","120089","15645",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","50083","5501",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","54972","5612",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","37525","3244",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","85485","13394",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","50885","7829",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","44340","6014",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","51610","12114",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","50625","12751",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","59738","7710",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","38048","4882",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","30696","3744",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","54167","7120",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","37185","5915",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","64158","6588",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","65410","6097",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","42743","5504",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","53250","7504",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","78913","13571",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","91071","11445",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","33608","7446",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","62647","14657",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","89438","9940",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","43505","7644",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","38589","7456",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","73625","13815",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","55392","9273",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","80347","14382",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","41375","9037",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","55948","5035",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","58162","11363",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","75080","10108",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","133438","19853",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","55634","8072",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","35988","5114",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","35192","4322",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","54938","11186",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","71546","4622",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","58210","9823",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","127383","21191",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","74757","7855",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","66391","9682",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","42056","7982",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","52056","6143",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","100152","17869",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","107537","8183",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","43715","10158",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","49766","20735",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","77273","18114",
