"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","110909","19956",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","46801","4702",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","51039","3867",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","36507","2538",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","90000","10486",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","49934","6795",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","47370","6737",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","59063","10723",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","42009","6778",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","57152","4314",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","34070","6448",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","29215","2621",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","54762","9340",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","35387","3095",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","54905","6745",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","65638","5576",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","41250","3387",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","53469","6599",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","67125","20610",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","87031","14640",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","27624","7560",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","51211","12106",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","80913","10714",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","42996","6690",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","36898","5910",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","71447","12167",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","49856","9501",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","77214","15457",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","41292","5582",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","51277","4058",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","51094","11152",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","71786","10289",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","123958","13700",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","50168","9561",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","35332","5235",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","34943","4052",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","41471","10006",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","61563","15293",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","57146","8040",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","112311","12434",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","68810","11985",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","65596","10321",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","49800","18761",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","50460","5409",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","98621","18038",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","102557","19659",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","39732","10193",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","42880","9238",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","61321","4734",
"1400000US18097322300","Census Tract 3223, Marion County, Indiana","74194","6645",
"1400000US18097322400","Census Tract 3224, Marion County, Indiana","39444","5923",
"1400000US18097322500","Census Tract 3225, Marion County, Indiana","25644","6807",
"1400000US18097322600","Census Tract 3226, Marion County, Indiana","21419","3816",
"1400000US18097322700","Census Tract 3227, Marion County, Indiana","40521","12111",
"1400000US18097330103","Census Tract 3301.03, Marion County, Indiana","49558","5753",
"1400000US18097330105","Census Tract 3301.05, Marion County, Indiana","51809","4900",
"1400000US18097330106","Census Tract 3301.06, Marion County, Indiana","29394","3314",
"1400000US18097330107","Census Tract 3301.07, Marion County, Indiana","97696","11420",
"1400000US18097330108","Census Tract 3301.08, Marion County, Indiana","118068","13549",
"1400000US18097330109","Census Tract 3301.09, Marion County, Indiana","88116","6394",
"1400000US18097330202","Census Tract 3302.02, Marion County, Indiana","40746","9246",
"1400000US18097330203","Census Tract 3302.03, Marion County, Indiana","109836","12259",
"1400000US18097330204","Census Tract 3302.04, Marion County, Indiana","85865","9340",
"1400000US18097330206","Census Tract 3302.06, Marion County, Indiana","88667","7834",
"1400000US18097330208","Census Tract 3302.08, Marion County, Indiana","72750","12850",
"1400000US18097330209","Census Tract 3302.09, Marion County, Indiana","61901","4633",
"1400000US18097330401","Census Tract 3304.01, Marion County, Indiana","82690","21294",
"1400000US18097330500","Census Tract 3305, Marion County, Indiana","44583","10529",
"1400000US18097330600","Census Tract 3306, Marion County, Indiana","39368","4153",
"1400000US18097330700","Census Tract 3307, Marion County, Indiana","35345","4905",
"1400000US18097330803","Census Tract 3308.03, Marion County, Indiana","25000","6118",
"1400000US18097330804","Census Tract 3308.04, Marion County, Indiana","24500","4971",
"1400000US18097330805","Census Tract 3308.05, Marion County, Indiana","22917","4312",
"1400000US18097330806","Census Tract 3308.06, Marion County, Indiana","27158","4626",
"1400000US18097330900","Census Tract 3309, Marion County, Indiana","31668","3678",
"1400000US18097331000","Census Tract 3310, Marion County, Indiana","36466","3231",
"1400000US18097340101","Census Tract 3401.01, Marion County, Indiana","61811","9925",
"1400000US18097340102","Census Tract 3401.02, Marion County, Indiana","30427","3278",
"1400000US18097340108","Census Tract 3401.08, Marion County, Indiana","24740","4555",
"1400000US18097340109","Census Tract 3401.09, Marion County, Indiana","53281","8096",
"1400000US18097340110","Census Tract 3401.10, Marion County, Indiana","38193","3156",
"1400000US18097340111","Census Tract 3401.11, Marion County, Indiana","66100","9824",
"1400000US18097340112","Census Tract 3401.12, Marion County, Indiana","41596","4096",
"1400000US18097340113","Census Tract 3401.13, Marion County, Indiana","49625","9857",
"1400000US18097340114","Census Tract 3401.14, Marion County, Indiana","71188","4407",
"1400000US18097340201","Census Tract 3402.01, Marion County, Indiana","39213","6453",
"1400000US18097340202","Census Tract 3402.02, Marion County, Indiana","34384","4615",
"1400000US18097340300","Census Tract 3403, Marion County, Indiana","29044","4467",
"1400000US18097340400","Census Tract 3404, Marion County, Indiana","36803","10982",
"1400000US18097340500","Census Tract 3405, Marion County, Indiana","31536","9096",
"1400000US18097340600","Census Tract 3406, Marion County, Indiana","30836","2032",
"1400000US18097340700","Census Tract 3407, Marion County, Indiana","29071","9374",
"1400000US18097340800","Census Tract 3408, Marion County, Indiana","52639","10685",
"1400000US18097340901","Census Tract 3409.01, Marion County, Indiana","62633","10517",
"1400000US18097340902","Census Tract 3409.02, Marion County, Indiana","36163","5684",
"1400000US18097341000","Census Tract 3410, Marion County, Indiana","64770","5749",
"1400000US18097341100","Census Tract 3411, Marion County, Indiana","27222","2865",
"1400000US18097341200","Census Tract 3412, Marion County, Indiana","20540","3764",
"1400000US18097341600","Census Tract 3416, Marion County, Indiana","22228","4640",
"1400000US18097341700","Census Tract 3417, Marion County, Indiana","24231","2906",
"1400000US18097341902","Census Tract 3419.02, Marion County, Indiana","55919","3242",
"1400000US18097341903","Census Tract 3419.03, Marion County, Indiana","27321","7833",
"1400000US18097341904","Census Tract 3419.04, Marion County, Indiana","35267","4470",
"1400000US18097342000","Census Tract 3420, Marion County, Indiana","63359","6510",
"1400000US18097342101","Census Tract 3421.01, Marion County, Indiana","52695","7987",
"1400000US18097342200","Census Tract 3422, Marion County, Indiana","27378","3421",
"1400000US18097342300","Census Tract 3423, Marion County, Indiana","28496","3858",
"1400000US18097342400","Census Tract 3424, Marion County, Indiana","35656","6313",
"1400000US18097342500","Census Tract 3425, Marion County, Indiana","35536","5084",
"1400000US18097342600","Census Tract 3426, Marion County, Indiana","29023","5573",
"1400000US18097350100","Census Tract 3501, Marion County, Indiana","26328","5685",
"1400000US18097350300","Census Tract 3503, Marion County, Indiana","16833","2559",
"1400000US18097350400","Census Tract 3504, Marion County, Indiana","34750","7417",
"1400000US18097350500","Census Tract 3505, Marion County, Indiana","21069","3949",
"1400000US18097350600","Census Tract 3506, Marion County, Indiana","27083","6332",
"1400000US18097350700","Census Tract 3507, Marion County, Indiana","22702","4554",
"1400000US18097350800","Census Tract 3508, Marion County, Indiana","15354","4630",
"1400000US18097350900","Census Tract 3509, Marion County, Indiana","33967","5604",
"1400000US18097351000","Census Tract 3510, Marion County, Indiana","27169","5328",
"1400000US18097351200","Census Tract 3512, Marion County, Indiana","21169","6389",
"1400000US18097351500","Census Tract 3515, Marion County, Indiana","35921","10059",
"1400000US18097351600","Census Tract 3516, Marion County, Indiana","52500","9401",
"1400000US18097351700","Census Tract 3517, Marion County, Indiana","33542","11897",
"1400000US18097351900","Census Tract 3519, Marion County, Indiana","24375","13146",
"1400000US18097352100","Census Tract 3521, Marion County, Indiana","24115","2551",
"1400000US18097352300","Census Tract 3523, Marion County, Indiana","20000","3901",
