"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","2139","326","375","149","580","227","0","13","410","171","206","114","121","70","125","142","197","97","125","193","0","13",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","1890","374","1261","382","155","83","0","13","35","36","151","77","90","56","44","38","125","58","0","13","29","46",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","2350","237","233","82","208","90","13","20","421","172","811","281","328","208","79","70","257","106","0","13","0","13",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","1688","241","1156","252","324","80","76","56","53","49","62","59","17","19","0","13","0","13","0","13","0","13",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","1404","110","682","116","171","90","13","19","108","82","273","99","115","61","0","13","42","41","0","13","0","13",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","1712","104","543","112","24","28","71","85","189","142","427","159","450","149","0","13","0","13","8","17","0","13",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","2535","349","2189","358","168","104","0","18","19","30","128","76","16","25","0","18","15","25","0","18","0","18",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","375","27","375","27","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","1697","137","1156","158","63","46","15","24","173","105","170","126","30","39","28","37","62","41","0","13","0","13",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","2361","222","776","218","557","234","117","128","181","156","105","80","238","198","88","82","299","175","0","13","0","13",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","1816","140","1443","167","67","56","0","18","55","48","0","18","153","96","77","48","14","23","7","12","0","18",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","2733","242","996","251","212","157","75","75","638","237","170","142","488","245","41","45","113","102","0","18","0","18",
