"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1, detached","Margin of Error!!Total!!1, detached","Estimate!!Total!!1, attached","Margin of Error!!Total!!1, attached","Estimate!!Total!!2","Margin of Error!!Total!!2","Estimate!!Total!!3 or 4","Margin of Error!!Total!!3 or 4","Estimate!!Total!!5 to 9","Margin of Error!!Total!!5 to 9","Estimate!!Total!!10 to 19","Margin of Error!!Total!!10 to 19","Estimate!!Total!!20 to 49","Margin of Error!!Total!!20 to 49","Estimate!!Total!!50 or more","Margin of Error!!Total!!50 or more","Estimate!!Total!!Mobile home","Margin of Error!!Total!!Mobile home","Estimate!!Total!!Boat, RV, van, etc.","Margin of Error!!Total!!Boat, RV, van, etc.",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","2680","93","2427","117","91","59","0","16","10","17","119","76","10","17","0","16","23","27","0","16","0","16",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1977","81","508","109","602","135","0","11","303","113","159","89","61","53","35","30","309","102","0","11","0","11",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1584","49","946","70","82","36","29","26","48","33","74","41","101","61","29","26","275","76","0","11","0","11",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2162","79","196","84","203","122","70","57","272","122","568","147","429","161","94","96","330","111","0","11","0","11",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1542","54","1017","102","359","96","42","35","69","38","33","29","22","22","0","11","0","11","0","11","0","11",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1469","50","658","95","60","26","25","40","192","84","340","86","173","84","11","17","10","16","0","11","0","11",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1799","55","723","137","73","44","0","11","84","57","332","109","532","132","44","47","11","16","0","11","0","11",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1597","65","1063","99","39","45","65","67","125","79","87","70","149","88","41","46","28","26","0","11","0","11",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","2452","75","1135","151","400","133","51","80","309","133","122","93","226","110","14","23","195","88","0","16","0","16",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","1879","55","1411","101","27","21","8","12","108","63","47","33","125","67","143","65","0","16","10","15","0","16",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","2644","98","877","128","200","91","20","31","232","113","267","151","575","193","260","132","213","114","0","16","0","16",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","2427","99","950","161","366","156","14","22","167","127","346","177","499","246","60","69","25","41","0","16","0","16",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1289","39","916","84","0","11","0","11","225","102","48","47","73","62","27","45","0","11","0","11","0","11",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1744","48","494","110","133","50","45","46","226","92","410","145","337","133","22","35","77","66","0","11","0","11",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","1634","56","1333","82","77","46","29","43","40","41","82","41","73","65","0","11","0","11","0","11","0","11",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1900","72","1859","74","35","32","0","16","6","10","0","16","0","16","0","16","0","16","0","16","0","16",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","2908","94","689","206","677","156","55","72","223","97","563","189","185","143","359","160","157","94","0","16","0","16",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","2219","100","497","120","460","122","92","77","570","177","151","111","387","149","34","51","28","43","0","11","0","11",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1097","38","529","65","243","81","29","33","166","59","99","69","3","7","12","16","16","19","0","11","0","11",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","871","39","542","47","186","42","0","11","14","22","0","11","14","14","110","41","5","7","0","11","0","11",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2758","69","404","181","292","157","16","24","311","145","1051","204","125","115","220","115","339","134","0","16","0","16",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","1236","42","684","81","276","64","0","11","53","44","45","25","24","22","123","53","31","29","0","11","0","11",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","2409","72","1087","110","391","93","0","11","21","31","292","130","155","72","110","60","331","91","22","24","0","11",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1776","44","275","43","57","31","7","11","410","94","479","108","139","66","89","47","320","64","0","11","0","11",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","3135","77","595","106","29","29","0","16","341","124","1182","209","313","134","135","90","540","114","0","16","0","16",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1946","41","805","96","638","105","0","11","271","78","110","83","58","34","37","29","27","24","0","11","0","11",
