"GEO_ID","NAME","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US18097354400","Census Tract 3544, Marion County, Indiana","823","148","480","69","213","133","10","12","13","13","37","31","58","36","4","7","8","7","0","12","0","12",
"1400000US18097354500","Census Tract 3545, Marion County, Indiana","1231","162","589","94","209","74","161","142","127","52","105","50","6","9","34","21","0","12","0","12","0","12",
"1400000US18097354700","Census Tract 3547, Marion County, Indiana","886","152","497","76","258","145","51","26","0","12","33","27","10","15","37","27","0","12","0","12","0","12",
"1400000US18097354800","Census Tract 3548, Marion County, Indiana","879","89","613","94","179","67","10","10","36","28","4","7","20","23","17","20","0","12","0","12","0","12",
"1400000US18097354900","Census Tract 3549, Marion County, Indiana","1582","256","903","153","401","125","78","63","0","12","0","12","11","17","94","62","0","12","95","153","0","12",
"1400000US18097355000","Census Tract 3550, Marion County, Indiana","1173","131","660","109","271","74","61","56","57","33","38","34","12","18","48","67","16","15","10","15","0","12",
"1400000US18097355100","Census Tract 3551, Marion County, Indiana","1197","406","482","90","265","73","21","21","106","53","11","19","300","414","5","7","7","11","0","12","0","12",
"1400000US18097355300","Census Tract 3553, Marion County, Indiana","1282","95","707","145","321","104","69","50","0","12","108","92","17","29","18","32","42","52","0","12","0","12",
"1400000US18097355400","Census Tract 3554, Marion County, Indiana","1692","262","951","250","232","115","57","51","49","52","190","143","50","38","143","84","10","16","10","17","0","12",
"1400000US18097355500","Census Tract 3555, Marion County, Indiana","1664","196","1512","242","77","59","9","14","0","12","0","12","42","68","0","12","0","12","24","38","0","12",
