"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2409","397","80","119","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","17","28","0","12","1","5","217","84","18","28","178","98","335","158","150","83","818","218","332","229","169","203","94","82",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2723","514","39","50","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","15","0","12","0","12","43","44","9","15","10","19","26","30","571","206","97","64","173","104","609","362","176","71","729","199","200","83","29","43","3","10",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2971","479","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","12","0","12","71","106","18","29","125","100","546","203","64","70","137","80","372","165","391","247","896","288","130","84","65","71","150","161",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","2956","518","3","5","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","37","3","5","18","21","180","76","46","37","131","60","247","99","196","76","1193","506","556","154","205","60","145","79",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1774","226","36","40","0","12","10","18","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","173","94","27","34","113","76","268","86","150","106","589","134","236","113","138","65","34","31",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","2525","471","71","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","14","5","12","18","28","13","19","42","43","0","12","433","139","206","124","277","125","433","158","179","84","532","232","213","152","55","37","41","55",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","4696","706","0","17","32","52","9","15","0","17","0","17","0","17","0","17","0","17","0","17","0","17","19","28","0","17","70","87","0","17","0","17","392","166","171","158","226","104","433","131","437","145","1668","559","747","364","333","138","159","115",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","604","170","4","5","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","33","41","0","12","38","43","29","32","61","60","297","145","88","56","15","24","39","48",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2724","337","51","60","6","10","0","12","0","12","0","12","36","28","0","12","0","12","41","56","0","12","13","19","14","20","15","22","51","72","111","74","720","211","19","20","248","140","261","101","117","73","649","168","342","172","25","42","5","9",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","3596","489","24","37","0","17","0","17","26","46","0","17","0","17","0","17","0","17","29","52","0","17","43","63","87","103","57","56","71","64","25","25","1025","338","232","175","86","74","518","209","284","135","621","182","384","142","70","62","14","25",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","3459","536","32","34","0","17","4","10","18","31","0","17","0","17","0","17","0","17","13","23","14","20","50","94","39","61","40","28","36","57","9","14","830","422","71","44","267","127","527","284","293","95","820","280","362","144","22","26","12","18",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","3155","447","111","162","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","69","109","0","17","0","17","40","65","53","59","0","17","895","265","211","146","84","79","536","314","413","216","529","215","163","104","13","21","38","46",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","4359","768","62","110","0","17","0","17","0","17","0","17","0","17","0","17","0","17","13","27","28","41","75","86","17","25","242","193","274","162","118","109","904","311","248","188","737","513","536","224","304","182","613","268","158","124","0","17","30","47",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1974","378","65","70","0","12","0","12","0","12","0","12","0","12","0","12","72","69","0","12","0","12","0","12","16","28","2","12","38","53","0","12","372","171","37","45","227","160","324","201","134","71","445","131","174","80","41","38","27","26",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1930","338","16","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","50","72","0","12","20","33","0","12","99","149","61","67","231","110","135","105","209","116","525","214","196","108","284","132","60","43","12","20","32","52",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","3363","673","45","48","0","17","0","17","0","17","0","17","0","17","0","17","0","17","11","18","0","17","32","37","114","171","0","17","211","210","85","64","629","165","74","58","206","150","594","397","284","126","670","169","354","133","12","19","42","32",
