"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","5284","355","2","4","0","17","14","20","0","17","0","17","0","17","0","17","0","17","0","17","0","17","33","37","0","17","48","55","29","32","21","37","522","204","72","59","250","104","586","165","467","185","1794","263","733","234","381","127","332","131",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2499","262","49","64","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","13","22","16","24","0","12","0","12","421","138","25","33","126","90","285","137","156","96","988","243","230","100","104","75","71","67",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2471","204","24","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","29","33","0","12","34","54","41","51","10","15","7","15","46","38","434","124","121","72","160","80","433","116","187","70","656","144","259","89","16","23","14","16",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2872","286","16","24","0","12","0","12","0","12","0","12","0","12","0","12","0","12","32","36","0","12","21","27","45","30","16","24","47","36","93","94","466","197","88","99","242","152","543","183","204","121","711","263","225","109","77","79","46","51",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","2616","190","4","6","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","17","0","12","0","12","49","62","5","7","20","23","253","100","61","54","129","55","278","112","152","64","796","154","501","108","249","56","108","59",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","2030","191","44","46","10","16","7","11","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","51","5","9","0","12","8","15","9","15","240","106","35","38","80","39","307","103","237","95","593","140","272","103","117","60","29","27",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","2762","382","96","89","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","6","14","19","30","22","33","12","18","81","72","0","12","484","143","138","72","183","88","491","180","288","106","641","199","263","160","38","36","0","12",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2657","309","42","48","0","12","0","12","0","12","0","12","11","20","0","12","0","12","34","45","0","12","18","23","13","15","30","28","60","77","115","75","596","197","19","25","132","61","329","105","215","124","681","149","348","154","0","12","14","17",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","3952","526","35","41","0","17","0","17","13","23","0","17","0","17","0","17","0","17","32","51","0","17","62","92","96","108","60","63","92","73","45","43","876","224","241","128","109","96","646","220","366","229","871","219","348","146","48","49","12","21",
