"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","4954","347","13","18","0","16","0","16","0","16","0","16","0","16","9","16","0","16","0","16","0","16","30","35","0","16","41","38","30","33","36","41","517","156","54","49","131","69","600","175","384","151","1835","297","571","162","445","145","258","120",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2618","224","15","24","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","27","24","30","25","30","0","11","0","11","494","162","0","11","54","50","397","160","146","100","1026","236","272","124","101","71","47","42",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2440","149","3","3","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","22","0","11","63","54","9","15","8","14","35","49","18","20","403","106","111","54","150","74","422","123","169","72","723","118","269","86","29","28","14","16",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2691","246","10","19","0","11","0","11","0","11","0","11","46","71","0","11","0","11","41","50","0","11","18","27","74","88","25","32","38","36","47","43","426","170","14","22","183","152","836","233","86","61","431","127","251","118","122","87","43","35",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","2700","189","14","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","12","0","11","0","11","42","55","4","6","4","8","231","76","32","25","61","39","306","92","182","89","940","145","580","140","210","58","87","50",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1905","188","29","30","9","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","33","47","10","15","0","11","11","16","9","14","173","86","84","55","61","43","254","101","248","97","561","149","276","101","119","64","28","26",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","2502","230","47","60","0","11","0","11","0","11","22","31","0","11","0","11","0","11","0","11","5","12","32","38","11","17","5","12","115","82","0","11","318","132","186","117","178","87","477","178","219","91","632","205","126","71","50","34","79","65",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2309","241","24","35","12","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","19","23","8","12","37","29","26","24","46","49","405","170","55","41","81","39","452","168","177","102","659","155","267","87","6","10","35","34",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","3844","411","27","33","0","16","0","16","16","25","0","16","39","63","0","16","0","16","75","76","3","8","90","89","80","79","86","88","4","7","36","43","596","187","295","154","116","78","552","179","248","159","1057","310","342","108","123","79","59","86",
