"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097342000","Census Tract 3420, Marion County, Indiana","4014","552","89","89","0","17","0","17","0","17","0","17","0","17","0","17","0","17","8","19","0","17","122","108","270","170","41","59","121","162","72","111","966","333","114","83","344","212","620","228","329","161","473","256","375","251","26","45","44","79",
"1400000US18097342101","Census Tract 3421.01, Marion County, Indiana","3503","392","41","40","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","9","13","142","155","213","201","168","135","62","43","1039","274","136","99","240","94","489","197","437","133","354","125","98","68","49","55","26","29",
"1400000US18097342200","Census Tract 3422, Marion County, Indiana","3275","717","163","79","0","17","0","17","0","17","0","17","0","17","0","17","0","17","52","66","0","17","34","39","84","82","151","129","122","100","104","43","1159","517","104","78","211","141","392","146","297","104","397","300","5","8","0","17","0","17",
"1400000US18097342300","Census Tract 3423, Marion County, Indiana","4050","616","119","103","0","17","0","17","0","17","0","17","38","58","0","17","32","51","40","68","91","89","415","330","179","102","403","252","243","158","44","47","1116","271","341","196","218","150","457","223","87","66","213","135","14","23","0","17","0","17",
"1400000US18097342400","Census Tract 3424, Marion County, Indiana","1220","255","85","60","0","12","0","12","0","12","0","12","0","12","52","78","0","12","43","49","49","56","5","8","86","49","77","59","95","57","56","34","233","69","143","66","37","31","149","127","41","29","61","46","8","12","0","12","0","12",
"1400000US18097342500","Census Tract 3425, Marion County, Indiana","2814","403","58","41","0","12","0","12","0","12","0","12","37","45","0","12","0","12","12","19","10","17","59","57","128","64","141","77","151","84","69","46","996","297","300","133","182","116","265","140","202","104","149","89","55","49","0","12","0","12",
"1400000US18097342600","Census Tract 3426, Marion County, Indiana","2395","491","214","123","0","12","64","101","0","12","0","12","0","12","0","12","0","12","20","32","59","57","123","73","76","58","122","67","327","249","205","115","481","142","215","104","192","102","180","128","77","74","40","38","0","12","0","12","0","12",
"1400000US18097350100","Census Tract 3501, Marion County, Indiana","847","153","2","6","0","12","0","12","0","12","0","12","9","16","0","12","0","12","0","12","0","12","17","20","9","16","20","33","31","34","11","18","194","86","20","27","81","63","168","80","98","48","133","76","30","39","24","36","0","12",
"1400000US18097350300","Census Tract 3503, Marion County, Indiana","1704","400","18","27","0","12","0","12","0","12","0","12","15","23","0","12","0","12","0","12","0","12","36","46","21","36","73","112","95","135","177","196","378","119","130","133","90","89","237","95","192","152","201","82","41","43","0","12","0","12",
"1400000US18097350400","Census Tract 3504, Marion County, Indiana","1767","277","19","19","0","12","5","7","0","12","0","12","0","12","0","12","0","12","3","7","0","12","0","12","16","25","6","12","45","43","35","37","547","207","106","57","107","76","244","97","95","58","343","105","153","81","39","32","4","9",
"1400000US18097350500","Census Tract 3505, Marion County, Indiana","1481","273","51","51","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","50","56","18","30","78","81","27","26","59","44","34","30","572","156","89","44","109","74","219","110","86","67","55","46","34","44","0","12","0","12",
"1400000US18097350600","Census Tract 3506, Marion County, Indiana","3857","603","72","100","0","17","0","17","0","17","0","17","0","17","35","56","0","17","27","43","0","17","104","111","112","85","190","140","239","148","112","82","1446","446","151","85","345","121","554","343","232","126","203","168","27","34","0","17","8","13",
