"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","5116","331","3","5","0","16","0","16","0","16","0","16","0","16","13","21","0","16","0","16","0","16","32","36","0","16","58","62","31","34","19","28","471","155","82","65","234","110","623","171","471","181","1879","305","547","152","372","122","281","114",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","2650","253","66","77","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","24","23","27","14","22","0","11","0","11","394","142","0","11","69","53","412","165","203","108","1052","249","234","106","120","72","48","55",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","2552","180","15","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","30","31","0","11","67","68","39","46","10","16","8","14","42","39","444","117","132","64","157","60","422","98","194","72","662","135","299","92","15","18","16","17",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2695","297","24","37","0","11","0","11","0","11","0","11","0","11","0","11","0","11","43","47","0","11","21","27","101","76","19","25","44","31","12","18","386","186","13","20","181","121","709","200","112","78","627","211","239","103","109","76","55","50",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","2640","193","14","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","12","0","11","0","11","49","56","4","7","5","8","247","103","51","46","72","39","265","99","192","109","853","175","564","136","217","53","100","60",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1970","185","29","33","9","14","8","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","34","48","7","11","0","11","14","17","8","13","201","94","30","34","59","39","277","90","250","95","615","121","267","75","133","62","29","26",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","2615","307","104","88","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","12","32","35","24","33","6","13","97","79","0","11","447","127","110","77","134","65","536","175","249","102","662","186","143","79","65","49","0","11",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","2363","259","42","45","15","23","0","11","0","11","0","11","16","22","0","11","0","11","0","11","0","11","15","17","15","17","35","30","6","11","91","65","484","156","19","22","80","43","367","104","205","118","665","160","294","99","0","11","14","17",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","3950","407","29","35","0","16","0","16","11","19","0","16","41","61","0","16","0","16","68","76","5","11","92","98","81","80","75","78","6","12","52","48","700","205","225","142","138","116","554","193","273","167","1113","254","365","154","111","69","11","21",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","3352","298","72","61","0","16","22","24","0","16","0","16","0","16","0","16","0","16","67","66","9","15","29","38","83","90","29","29","120","81","19","22","711","193","89","55","208","89","468","140","455","157","666","161","255","123","33","29","17","19",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","3828","388","69","80","10","18","0","16","0","16","0","16","0","16","0","16","0","16","116","181","38","62","95","98","0","16","21","36","62","59","31","37","930","270","219","130","180","139","759","287","289","122","801","227","178","110","11","19","19","29",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","3102","401","15","22","0","16","0","16","0","16","0","16","0","16","0","16","0","16","63","93","0","16","72","83","37","46","114","112","329","206","147","123","816","264","196","105","199","102","345","129","246","111","383","164","136","93","0","16","4","14",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","2055","266","35","39","0","11","0","11","0","11","0","11","0","11","0","11","70","62","25","39","0","11","0","11","12","15","16","24","34","49","0","11","306","176","125","107","294","144","276","156","125","64","499","162","176","83","28","27","34","27",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","2372","337","13","25","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","44","45","19","28","25","37","0","11","167","153","13","22","512","191","162","122","169","86","496","165","333","149","272","95","139","66","0","11","0","11",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","3087","239","15","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","17","0","11","56","43","0","11","9","14","124","116","102","81","688","162","162","59","128","75","451","107","321","166","765","157","222","84","16","18","18","22",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","3765","258","6","12","0","16","0","16","0","16","0","16","2","4","16","23","0","16","0","16","18","28","40","62","16","25","25","29","112","76","68","50","692","165","116","69","205","94","560","179","484","166","928","153","412","115","28","34","37","33",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","3866","442","24","37","0","16","0","16","0","16","42","69","0","16","54","71","0","16","191","173","0","16","0","16","112","135","13","22","0","16","15","25","838","299","337","206","252","131","840","256","182","92","620","209","247","140","99","77","0","16",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","3082","369","19","29","0","11","0","11","0","11","0","11","0","11","0","11","44","73","49","56","0","11","17","29","4","9","13","12","70","58","53","62","473","217","118","95","130","85","488","160","181","130","842","201","393","131","132","87","56","52",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1458","154","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","20","0","11","17","24","25","28","179","77","32","40","25","25","201","87","92","77","451","82","154","62","209","80","64","36",
