"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"1400000US18097310104","Census Tract 3101.04; Marion County; Indiana","2589","338","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","21","2","4","255","133","53","70","132","108","347","153","319","163","730","265","398","219","171","207","169","140",
"1400000US18097310105","Census Tract 3101.05; Marion County; Indiana","2722","549","31","43","18","31","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","20","27","0","13","0","13","26","34","423","177","57","50","222","117","425","356","246","126","1011","236","190","94","53","51","0","13",
"1400000US18097310106","Census Tract 3101.06; Marion County; Indiana","3253","471","67","111","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","73","105","0","13","140","96","640","287","59","74","133","77","282","133","459","297","1039","312","201","127","24","36","136","155",
"1400000US18097310108","Census Tract 3101.08; Marion County; Indiana","2897","507","9","15","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","24","23","31","6","10","35","32","187","70","28","23","155","73","216","95","114","48","1212","494","589","144","178","66","130","65",
"1400000US18097310110","Census Tract 3101.10; Marion County; Indiana","1749","173","28","29","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","38","44","16","26","262","135","39","46","88","60","250","107","148","105","609","173","231","112","40","34","0","13",
"1400000US18097310111","Census Tract 3101.11; Marion County; Indiana","2260","266","24","36","0","13","0","13","0","13","0","13","0","13","15","24","0","13","0","13","0","13","0","13","11","23","12","24","0","13","0","13","320","126","145","107","235","110","446","145","230","99","513","136","246","167","29","38","34","46",
"1400000US18097310112","Census Tract 3101.12; Marion County; Indiana","4462","613","1","2","70","91","8","15","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","28","45","19","31","276","130","167","149","129","69","336","110","429","159","1592","563","962","398","268","124","177","118",
"1400000US18097310113","Census Tract 3101.13; Marion County; Indiana","841","127","2","3","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","14","49","47","36","48","0","13","97","47","58","48","298","86","92","52","132","64","69","65",
"1400000US18097310201","Census Tract 3102.01; Marion County; Indiana","2759","366","317","281","12","21","0","13","0","13","0","13","0","13","0","13","0","13","34","45","0","13","2","6","8","14","13","22","97","114","77","60","431","162","29","28","311","129","130","65","236","121","744","188","285","136","24","41","9","16",
"1400000US18097310203","Census Tract 3102.03; Marion County; Indiana","3371","467","108","106","0","18","0","18","0","18","0","18","0","18","7","23","0","18","0","18","0","18","46","75","64","98","45","60","61","76","0","18","707","332","190","144","90","62","423","211","491","276","766","241","345","159","24","31","4","9",
"1400000US18097310204","Census Tract 3102.04; Marion County; Indiana","3568","596","107","78","0","18","0","18","11","17","0","18","0","18","0","18","0","18","20","30","0","18","42","64","39","57","25","29","0","18","127","92","832","497","79","55","255","140","534","259","301","103","895","245","301","178","0","18","0","18",
"1400000US18097310305","Census Tract 3103.05; Marion County; Indiana","3793","448","160","131","0","18","0","18","0","18","0","18","0","18","0","18","0","18","30","47","0","18","12","19","27","43","0","18","57","65","210","206","870","381","304","210","169","117","676","265","449","273","527","183","246","154","20","33","36","42",
"1400000US18097310306","Census Tract 3103.06; Marion County; Indiana","4837","767","223","205","0","18","0","18","0","18","0","18","0","18","0","18","0","18","35","51","74","80","90","99","0","18","157","148","185","177","227","218","1145","367","282","217","771","523","420","225","256","192","704","386","268","222","0","18","0","18",
"1400000US18097310308","Census Tract 3103.08; Marion County; Indiana","2274","314","76","83","0","13","0","13","0","13","0","13","0","13","0","13","0","13","30","46","0","13","32","50","0","13","15","26","53","68","0","13","406","165","8","13","69","57","436","209","242","132","567","187","218","115","81","96","41","40",
"1400000US18097310309","Census Tract 3103.09; Marion County; Indiana","1894","291","48","47","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","24","39","0","13","0","13","48","58","285","120","89","73","242","109","444","187","265","142","297","145","72","57","32","44","48","79",
"1400000US18097310310","Census Tract 3103.10; Marion County; Indiana","3359","641","69","62","0","18","0","18","0","18","0","18","0","18","0","18","0","18","9","21","0","18","0","18","104","157","0","18","170","205","44","43","782","209","43","38","191","133","669","453","288","129","623","131","331","176","0","18","36","28",
"1400000US18097310311","Census Tract 3103.11; Marion County; Indiana","3963","589","138","99","0","18","13","22","0","18","0","18","17","31","0","18","0","18","0","18","103","152","0","18","0","18","57","84","81","101","95","72","550","190","90","64","261","161","620","232","182","91","1177","419","419","177","55","63","105","85",
"1400000US18097310312","Census Tract 3103.12; Marion County; Indiana","3812","378","45","57","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","0","18","109","132","0","18","57","67","0","18","90","108","1257","364","0","18","194","143","381","212","536","285","518","182","572","277","12","19","41","38",
"1400000US18097320105","Census Tract 3201.05; Marion County; Indiana","3114","415","30","53","0","13","0","13","0","13","0","13","0","13","0","13","31","47","33","68","65","68","20","32","6","10","6","10","19","31","70","71","499","150","13","21","134","102","226","98","256","151","918","257","464","203","177","118","147","121",
"1400000US18097320106","Census Tract 3201.06; Marion County; Indiana","2254","782","25","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","20","29","45","55","80","10","20","115","68","0","13","107","81","942","836","63","37","545","192","131","71","175","73","47","42",
"1400000US18097320107","Census Tract 3201.07; Marion County; Indiana","1535","295","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","154","79","12","11","143","104","145","57","62","31","624","246","274","60","63","28","58","32",
"1400000US18097320108","Census Tract 3201.08; Marion County; Indiana","3402","446","21","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","24","36","0","13","4","9","38","57","134","149","903","394","284","144","132","102","343","233","388","219","766","296","220","132","107","74","38","46",
"1400000US18097320109","Census Tract 3201.09; Marion County; Indiana","2068","359","9","12","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","7","16","0","13","7","12","0","13","0","13","9","16","162","66","27","27","114","73","180","87","266","311","587","137","510","190","98","65","92","40",
"1400000US18097320202","Census Tract 3202.02; Marion County; Indiana","3940","568","1","4","0","18","0","18","0","18","0","18","0","18","0","18","0","18","8","17","0","18","0","18","14","25","42","56","0","18","14","23","330","142","14","19","137","88","377","182","150","113","1663","549","682","164","345","211","163","87",
"1400000US18097320203","Census Tract 3202.03; Marion County; Indiana","2210","310","16","24","0","13","0","13","0","13","0","13","0","13","0","13","0","13","22","34","0","13","4","10","0","13","9","15","67","59","44","55","268","111","110","78","160","112","261","117","178","132","746","148","213","85","101","82","11","13",
"1400000US18097320205","Census Tract 3202.05; Marion County; Indiana","1501","184","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","23","0","13","45","59","156","78","0","13","33","41","141","100","111","75","612","184","305","131","33","42","50","46",
"1400000US18097320206","Census Tract 3202.06; Marion County; Indiana","1578","401","26","31","0","13","0","13","0","13","89","142","0","13","0","13","0","13","84","81","8","15","22","36","0","13","0","13","0","13","41","64","231","135","32","51","225","300","307","173","61","64","315","166","96","68","41","45","0","13",
"1400000US18097320301","Census Tract 3203.01; Marion County; Indiana","2926","307","1","3","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","7","11","0","13","1","4","316","104","0","13","222","84","271","103","218","174","1245","249","461","115","128","56","56","31",
"1400000US18097320303","Census Tract 3203.03; Marion County; Indiana","2481","303","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","12","22","351","125","77","52","258","126","343","137","448","196","775","322","146","104","71","91","0","13",
"1400000US18097320305","Census Tract 3203.05; Marion County; Indiana","1933","262","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","34","46","0","13","0","13","0","13","33","44","204","120","40","66","36","45","173","87","130","78","868","212","357","117","51","44","7","13",
"1400000US18097320306","Census Tract 3203.06; Marion County; Indiana","3138","346","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","26","1","4","13","31","1","4","268","102","2","4","79","58","382","150","150","160","1432","299","483","207","222","114","90","90",
