"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","883","294","36","42","213","259","72","55","157","91","146","98","71","69","11","17","22","35","93","81","62","38",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","746","278","11","17","50","40","87","51","17","22","79","62","316","270","34","33","87","56","65","43","0","12",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","2107","461","299","450","159","90","197","71","257","157","310","211","195","116","98","67","185","120","342","173","65","71",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","298","81","4","8","25","27","71","59","35","40","24","35","62","40","22","33","0","12","49","38","6","9",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","778","118","46","52","66","44","137","75","83","45","145","78","69","54","29","28","80","52","100","73","23","34",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1040","148","0","12","51","47","228","139","143","78","156","84","69","52","30","35","107","72","241","107","15","23",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","264","129","0","17","60","48","25","38","36","53","16","26","10","15","35","53","0","17","27","45","55","62",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","8","24","0","12","0","12","4","12","0","12","0","12","4","14","0","12","0","12","0","12","0","12",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","495","111","0","12","36","56","55","44","21","24","51","64","53","52","96","75","70","64","103","81","10","17",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","805","217","36","58","86","96","64","83","104","88","98","101","92","77","32","43","126","118","167","123","0","17",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","668","177","52","50","0","17","47","50","106","64","23","29","69","66","6","11","73","106","241","92","51","50",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","1526","214","26","40","45","54","230","124","255","139","376","169","89","70","110","97","92","100","113","88","190","148",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","1850","424","126","110","245","208","295","175","272","246","34","37","192","195","111","126","137","89","213","170","225","166",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","305","132","0","12","39","56","73","91","76","77","0","12","23","38","0","12","19","22","75","76","0","12",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1097","132","36","59","85","75","166","122","133","98","200","108","232","137","31","38","35","48","169","94","10","14",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","497","323","0","17","0","17","45","47","40","37","24","28","40","62","19","23","292","317","37","42","0","17",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","140","81","0","17","23","25","13","21","0","17","0","17","44","52","0","17","13","19","19","23","28","46",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","1540","286","37","42","81","84","186","154","301","238","71","96","98","97","0","17","333","159","381","157","52","79",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","998","159","0","12","115","84","124","90","92","90","230","140","29","37","44","50","16","26","326","169","22","37",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","692","404","13","22","26","27","71","65","325","425","19","19","45","38","0","12","43","35","150","83","0","12",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","173","93","0","12","79","91","22","22","28","28","5","7","0","12","21","22","4","6","14","20","0","12",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2090","209","47","47","195","140","89","80","241","125","219","150","220","128","82","80","304","153","497","200","196","168",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","249","95","31","48","54","68","0","12","48","49","35","29","9","14","30","45","0","12","0","12","42","50",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","953","219","109","93","118","85","89","76","111","103","101","72","78","83","107","167","17","21","105","68","118","91",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1368","183","68","73","67","52","232","77","233","101","145","74","121","62","76","47","85","62","316","136","25","32",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","1103","154","69","60","78","64","195","92","216","124","118","70","91","71","97","66","40","46","149","104","50","54",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","1153","368","0","12","130","70","34","35","121","75","258","320","89","71","145","105","64","67","284","169","28","45",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","290","78","7","12","73","50","66","45","23","23","13","13","9","11","18","19","9","14","72","55","0","12",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","1650","139","79","56","213","76","453","132","131","63","132","68","181","82","56","48","149","100","256","105","0","12",
