"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","385","158","0","16","39","51","80","77","55","71","15","24","51","60","41","61","16","26","74","86","14","22",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","914","133","37","38","145","81","113","77","145","80","57","38","79","75","39","50","94","84","194","111","11","23",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","730","90","9","14","43","35","156","86","49","32","152","81","51","57","51","39","64","54","135","74","20","23",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","1810","150","43","44","179","86","146","101","320","136","266","132","187","129","81","58","302","154","243","123","43","41",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","199","69","6","10","12","18","28","22","63","43","0","11","11","18","0","11","9","14","47","59","23","26",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","703","89","16","13","84","61","154","77","55","36","118","56","66","43","35","40","60","51","115","65","0","11",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1035","120","84","67","151","73","130","80","156","100","90","71","95","64","31","22","32","39","243","119","23","26",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","534","106","23","36","12","18","47","38","9","12","22","36","66","73","142","71","11","19","181","87","21","19",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","947","166","18","28","59","70","156","125","124","110","78","70","58","46","67","76","140","89","209","86","38","62",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","735","124","38","40","25","39","29","29","74","60","71","43","129","83","33","52","158","87","129","70","49","58",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","1589","177","15","25","28","32","235","97","172","96","255","112","206","117","44","40","132","96","396","165","106","71",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","1586","164","51","48","125","78","137","77","96","69","223","120","163","105","22","27","339","157","387","176","43","49",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","421","99","27","36","28","46","81","59","35","43","23","36","24","39","70","64","53","42","80","69","0","11",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1230","112","9","14","117","82","176","70","141","71","220","114","115","73","84","70","131","84","207","80","30","38",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","449","100","0","11","41","51","14","17","78","45","67","58","28","39","47","41","59","54","103","57","12","21",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","102","70","0","16","14","19","0","16","31","31","0","16","0","16","12","18","36","50","9","15","0","16",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","1595","250","144","90","61","47","190","128","299","157","71","70","235","175","123","147","70","59","385","146","17","29",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","960","143","19","32","126","71","120","79","177","101","103","59","129","99","64","61","105","66","76","44","41","42",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","374","85","0","11","21","21","9","15","39","42","96","62","42","45","17","26","60","49","46","43","44","36",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","138","54","27","24","12","10","32","25","23","27","7","12","5","8","5","7","27","34","0","11","0","11",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","1930","210","13","20","205","111","166","105","343","152","135","100","144","100","116","75","296","182","512","188","0","11",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","250","56","8","12","26","26","14","18","31","37","41","38","22","21","24","40","0","11","16","17","68","63",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","596","139","41","49","57","47","98","46","64","66","65","43","6","10","8","12","69","59","69","34","119","83",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1456","82","122","71","176","72","159","60","212","72","146","67","110","56","92","42","130","73","283","84","26","36",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","2145","174","130","129","166","82","256","114","210","129","273","128","81","58","168","84","161","86","652","155","48","64",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","520","79","5","8","140","78","98","52","60","41","29","26","37","43","8","13","7","11","76","45","60","58",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","1862","116","123","70","271","86","408","123","272","100","166","69","135","76","52","45","104","61","255","82","76","68",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","1120","151","36","40","150","88","62","45","211","121","178","103","124","96","41","51","26","30","243","114","49","61",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","768","101","9","18","140","58","81","60","68","47","66","49","99","75","45","38","77","58","119","76","64","65",
