year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,degree,betweenness,closeness,eigen_or_katz,pagerank
2016,18081610201,1400000US18081610201,0.0027464982147761604,0.0023711937609218574,0.0008456084742873511,0.0,0.0013731915073634407,0.0005492996429552321,0.00047423875218437147,0.00016912169485747022,0.0,0.00027463830147268813,0.0005492996429552321,0.0011129354029656144,0.0001702019596305594,0.0,0.00027463850706507565
2016,18081610300,1400000US18081610300,0.014556440538313651,0.11201932508579035,0.004462061946822183,0.0,0.006535586771534259,0.0006328887190571152,0.004870405438512624,0.00019400269334009492,0.0,0.00028415594658844605,0.0013732491073880802,0.03404043086822543,0.00020402291642242066,0.0,0.00046373050750024195
2016,18081610404,1400000US18081610404,0.0005492996429552321,6.639885793964344e-06,0.00018119654414298133,0.0,0.0002745862843139965,0.0005492996429552321,6.639885793964344e-06,0.00018119654414298133,0.0,0.0002745862843139965,0.0005492996429552321,6.639885793964344e-06,0.00018119654414298133,0.0,0.0002745862843139965
2016,18097310104,1400000US18097310104,0.014831090359791266,0.2530105091283339,0.003238076963992817,0.0,0.007339481634966274,0.0005704265522996641,0.009731173428012841,0.00012454142169203143,0.0,0.0002822877551910105,0.0008239494644328481,0.019311504205764024,0.00012953330583138044,0.0,0.0005331396243752682
2016,18097310105,1400000US18097310105,0.01922548750343312,0.45048750343312277,0.004040670110583806,0.0,0.008778705243061513,0.0005825905304070643,0.013651136467670386,0.00012244454880556987,0.0,0.000266021371001864,0.0010985992859104642,0.029342258949509703,0.000128147376255734,0.0,0.0005589029066418628
2016,18097310106,1400000US18097310106,0.007964844822850866,0.19560379197841432,0.001826453627747995,0.0,0.0038208853865147317,0.0005689174873464905,0.013971699427029595,0.00013046097341057108,0.0,0.00027292038475105226,0.0008239494644328481,0.03155500089034832,0.00013460725053447367,0.0,0.0003715794324114348
2016,18097310110,1400000US18097310110,0.0021971985718209283,0.0306548436457802,0.0005620607915399449,0.0,0.0010592980375821524,0.0005492996429552321,0.00766371091144505,0.00014051519788498622,0.0,0.0002648245093955381,0.0005492996429552321,0.00820282436596636,0.0001409983751536712,0.0,0.0002685275908912689
2016,18097310111,1400000US18097310111,0.01043669321614941,0.12074451228529778,0.002390826254884085,0.0,0.005082225577255502,0.0006139231303617299,0.007102618369723399,0.00014063683852259324,0.0,0.0002989544457209119,0.0008239494644328481,0.014766728739538408,0.00014560647692490915,0.0,0.0004032857411093943
2016,18097310112,1400000US18097310112,0.0032957978577313925,0.006017094687789552,0.0006616446529405815,0.0,0.0016520565277839926,0.0005492996429552321,0.0010028491146315919,0.00011027410882343024,0.0,0.00027534275463066545,0.0005492996429552321,0.002132157872339141,0.00011238870151897446,0.0,0.0002786626526017803
2016,18097310201,1400000US18097310201,0.018950837681955508,0.2998968554104506,0.004114038871989988,0.0,0.00938757850096676,0.0005573775788810443,0.008820495747366194,0.00012100114329382317,0.0,0.0002761052500284341,0.0008239494644328481,0.01997307828123538,0.00013408739183423768,0.0,0.0003023101392070188
2016,18097310203,1400000US18097310203,0.006591595715462785,0.19151347142283698,0.0014764560845326909,0.0,0.003295644043237438,0.0005492996429552321,0.01595945595190308,0.0001230380070443909,0.0,0.0002746370036031198,0.0005492996429552321,0.02200699602512291,0.00013260235786760345,0.0,0.00027463850706507565
2016,18097310204,1400000US18097310204,0.006591595715462785,0.13503332015416608,0.0016083646103363688,0.0,0.0032956620847809075,0.0005492996429552321,0.01125277667951384,0.0001340303841946974,0.0,0.00027463850706507565,0.0005492996429552321,0.014390971566198152,0.00014121262225183325,0.0,0.00027463850706507565
2016,18097310305,1400000US18097310305,0.007140895358418017,0.09220786766103986,0.0015747782244472759,0.0,0.0032623835599541544,0.0006491723053107288,0.008382533423730897,0.00014316165676793417,0.0,0.00029658032363219587,0.0010985992859104642,0.017875628902819234,0.00014598466870849238,0.0,0.0003950381732846151
2016,18097310306,1400000US18097310306,0.023619884647074978,0.3619216131300724,0.005802727290729803,0.0,0.011442041606093072,0.0005760947474896336,0.008827356417806643,0.0001415299339202391,0.0,0.00027907418551446515,0.0010985992859104642,0.050288080499560864,0.0001573980369689345,0.0,0.0005125662184433133
