"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","335","133","0","17","41","34","57","52","42","48","14","21","51","52","37","57","0","17","36","54","57","67",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","893","165","57","54","62","53","152","83","140","78","136","89","55","52","54","71","18","29","147","74","72","53",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","672","95","24","26","37","32","103","52","28","26","110","74","112","74","35","29","94","62","129","64","0","12",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","1845","133","16","26","240","130","226","118","240","122","348","173","146","104","98","78","170","109","286","114","75","77",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","226","71","6","10","0","12","35","37","30","27","11","16","60","53","12","17","11","17","53","37","8","13",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","876","114","47","53","85","47","171","93","71","34","129","63","77","46","34","34","55","37","198","94","9","13",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","1115","127","0","12","42","37","176","94","170","81","165","90","114","75","46","54","107","64","281","117","14","21",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","532","134","32","52","36","57","61","47","18","20","49","62","31","29","95","86","65","57","136","94","9","15",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","919","220","0","17","90","105","69","86","180","135","126","114","78","71","47","48","159","135","170","112","0","17",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","842","132","73","67","26","39","41","54","125","83","67","45","60","47","44","51","105","67","247","87","54","56",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","1636","195","29","47","31","34","241","119","242","153","370","195","94","72","101","88","185","148","175","104","168","126",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","1642","198","65","56","162","127","260","162","188","133","59","52","99","83","125","101","227","125","187","120","270","182",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","399","147","20","32","52","75","55","86","53","54","21","32","22","34","0","12","46","41","130","110","0","12",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","1262","129","0","12","114","72","225","120","121","74","223","117","172","114","39","49","114","74","244","118","10","15",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","292","98","0","17","9","15","33","35","59","43","17","22","0","17","25","38","89","75","60","51","0","17",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","158","62","0","17","36","32","14","23","10","15","0","17","45","46","0","17","12","19","21","23","20","27",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","1618","229","31","38","86","80","178","162","169","99","44","73","222","146","23","26","307","160","506","206","52","80",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","1181","190","0","12","139","88","174","111","136","124","164","118","86","82","56","61","81","78","324","195","21","34",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","391","79","20","27","19","22","29","35","48","37","13","16","55","45","42","66","42","35","123","71","0","12",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","139","49","6","8","22","19","33","28","34","30","5","7","0","12","12","14","22","26","5","7","0","12",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","2225","196","46","46","214","142","116","73","277","123","216","131","190","123","144","95","384","199","536","200","102","89",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","253","68","8","12","56","38","15","27","31","27","38","27","10","15","30","47","0","12","11","17","54","68",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","807","152","105","84","143","92","74","55","84","77","110","86","66","80","0","12","28","28","65","45","132","101",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","1391","85","64","56","83","53","265","80","185","73","139","68","116","47","111","69","168","80","240","89","20","28",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","2202","177","66","71","244","108","283","106","349","132","238","103","146","82","307","132","151","85","304","114","114","95",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","403","80","8","12","136","75","46","34","31","26","22","20","6","11","21","22","14","18","76","57","43","55",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","1782","119","91","64","273","94","501","147","154","67","212","86","158","81","15","19","106","74","272","100","0","12",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","1290","132","57","71","190","80","173","76","165","110","155","103","49","63","48","64","90","69","219","97","144","123",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","828","114","59","45","79","57","130","79","73","40","72","61","105","76","71","56","60","54","110","89","69","68",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","632","90","17","19","10","15","66","50","99","63","63","46","80","43","53","38","80","59","126","60","38","39",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","450","91","22","25","69","56","24","24","92","53","96","58","54","38","0","12","19","31","63","37","11","14",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","457","100","31","29","75","65","41","33","130","72","45","43","57","38","0","12","23","23","55","33","0","12",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","85","50","2","4","10","13","8","10","28","42","1","3","0","12","0","12","0","12","25","26","11","12",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","766","153","45","51","61","72","142","129","24","37","120","91","51","58","157","90","36","43","130","137","0","17",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","1116","143","60","66","33","33","81","72","89","59","49","46","112","81","160","103","204","102","281","119","47","59",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","1140","168","0","17","112","83","116","89","182","75","76","78","103","55","53","42","61","82","386","145","51","57",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","294","102","0","12","49","39","20","28","4","11","9","16","14","17","25","32","52","75","56","45","65","67",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","484","118","16","25","17","27","74","59","105","87","29","31","39","61","0","12","94","91","54","40","56","45",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","409","85","0","12","45","45","38","44","57","46","87","38","43","49","29","37","1","2","77","49","32","26",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","329","117","23","36","46","54","145","83","34","34","9","17","14","23","12","20","20","32","0","17","26","30",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","663","95","25","25","112","58","139","75","84","82","38","30","66","67","15","17","47","45","127","69","10","17",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","912","187","44","59","128","76","125","90","107","88","27","32","132","131","61","63","100","76","98","88","90","58",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","1163","188","57","77","0","17","72","48","157","101","184","124","15","24","90","63","219","112","318","148","51","65",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","773","153","23","37","105","85","77","70","138","73","75","85","120","70","18","28","93","75","95","82","29","32",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","415","103","21","22","69","54","30","24","57","42","61","52","67","54","48","51","0","12","62","54","0","12",
