"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","333","108","16","23","43","49","22","29","63","38","79","59","20","21","0","12","29","44","40","40","21","24",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","437","90","45","50","30","32","61","56","91","51","57","48","49","30","33","54","24","29","47","34","0","12",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","47","26","9","12","0","12","0","12","5","7","8","11","0","12","0","12","0","12","10","10","15","16",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","766","212","72","56","68","78","143","130","13","21","85","83","210","196","62","59","16","28","97","141","0","17",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","1071","175","82","74","45","43","71","77","96","55","59","50","174","110","36","34","180","119","295","142","33","41",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","1329","318","32","55","140","108","58","68","156","119","52","64","150","153","107","92","78","108","516","336","40","55",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","306","180","0","12","126","153","0","12","9","18","0","12","0","12","13","23","38","53","94","75","26","28",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","441","157","18","29","20","28","16","23","98","119","16","13","30","46","13","21","84","82","83","75","63","47",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","328","87","0","12","43","47","36","42","27","20","78","41","39","52","2","3","3","4","52","47","48","46",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","355","142","25","40","0","17","157","130","85","60","36","40","3","6","15","25","16","27","18","29","0","17",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","586","107","14","16","142","77","131","68","27","26","28","26","48","28","17","19","32","32","116","77","31","49",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","1132","268","13","22","192","117","144","142","102","88","203","189","16","26","80","79","72","63","169","116","141","125",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","1074","286","8","14","16","26","40","42","188","123","162","129","40","47","285","226","93","91","214","102","28","50",
"1400000US18097321700","Census Tract 3217, Marion County, Indiana","781","213","20","32","10","18","52","50","122","77","0","12","84","63","84","100","180","126","211","146","18","30",
"1400000US18097321800","Census Tract 3218, Marion County, Indiana","304","68","23","19","62","53","21","19","45","39","36","40","32","38","0","12","5","10","80","61","0","12",
"1400000US18097321900","Census Tract 3219, Marion County, Indiana","212","72","9","14","16","18","8","12","14","26","39","37","0","17","0","17","0","17","116","59","10","15",
"1400000US18097322000","Census Tract 3220, Marion County, Indiana","658","276","18","21","46","41","122","87","210","254","0","12","51","32","0","12","55","39","124","65","32","28",
"1400000US18097322100","Census Tract 3221, Marion County, Indiana","234","96","0","12","56","56","51","48","8","12","21","33","19","29","0","12","23","22","45","43","11","12",
"1400000US18097322200","Census Tract 3222, Marion County, Indiana","235","60","0","12","19","15","88","45","18","19","46","39","26","27","0","12","19","24","19","19","0","12",
"1400000US18097322300","Census Tract 3223, Marion County, Indiana","390","188","7","12","65","35","41","37","126","150","30","23","0","12","0","12","13","15","48","44","60","75",
"1400000US18097322400","Census Tract 3224, Marion County, Indiana","681","229","28","41","117","75","44","29","99","70","62","42","24","20","18","22","145","192","110","64","34","34",
"1400000US18097322500","Census Tract 3225, Marion County, Indiana","633","96","6","10","49","31","67","44","41","23","55","35","17","15","51","49","66","38","232","86","49","32",
"1400000US18097322601","Census Tract 3226.01, Marion County, Indiana","833","157","10","17","12","19","36","57","61","60","119","84","61","58","40","47","40","48","246","99","208","108",
"1400000US18097322602","Census Tract 3226.02, Marion County, Indiana","581","149","77","87","64","45","115","74","83","76","66","44","39","62","42","54","43","36","52","53","0","12",
"1400000US18097322700","Census Tract 3227, Marion County, Indiana","210","195","114","193","0","12","0","12","0","12","29","24","17","25","0","12","7","13","43","48","0","12",
"1400000US18097330103","Census Tract 3301.03, Marion County, Indiana","951","158","0","12","66","83","102","67","165","125","193","142","45","57","156","115","32","31","192","112","0","12",
