year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,degree_max,betweenness_max,closeness_max,eigen_or_katz_max,pagerank_max,degree_min,betweenness_min,closeness_min,eigen_or_katz_min,pagerank_min
2016,18081610201,1400000US18081610201,0.002746498214776,0.00234104920430922,0.0599574296089138,1.0970476662373181e-07,0.0013731925353250001,0.0005492996429552,0.00046820984086184405,0.011991485921782761,2.1940953324746363e-08,0.000274638507065,0.0005492996429552,0.0009030271989945,0.0121053060910736,2.1941009742847124e-08,0.000274638507065,0.0005492996429552,4.977978805642024e-05,0.0118361487947549,2.1940907381290423e-08,0.000274638507065
2016,18081610300,1400000US18081610300,0.0145564405383128,0.06770819398644137,0.2688413006645871,2.79500965317715e-05,0.0065817281949278,0.0006328887190570783,0.002943834521149625,0.011688752202808135,1.2152215883378914e-06,0.00028616209543164345,0.001373249107388,0.0099591362279723,0.0122676438798311,5.974343097350034e-06,0.0005194919537694,0.0005492996429552,1.5090649531737145e-06,0.0110363032622139,2.2998921006041298e-08,0.0002282375459981
2016,18081610404,1400000US18081610404,0.0005492996429552,2.046795098154614e-05,0.0109338389359107,2.266672258527004e-08,0.000274447387648,0.0005492996429552,2.046795098154614e-05,0.0109338389359107,2.266672258527004e-08,0.000274447387648,0.0005492996429552,2.046795098154614e-05,0.0109338389359107,2.266672258527004e-08,0.000274447387648,0.0005492996429552,2.046795098154614e-05,0.0109338389359107,2.266672258527004e-08,0.000274447387648
2016,18097310104,1400000US18097310104,0.0148310903597904,0.2577283941663897,0.3515684073773789,2.916906952805195e-06,0.0070582067329181,0.0005704265522996308,0.009912630544861143,0.01352186182220688,1.1218872895404596e-07,0.00027146948972761923,0.0008239494644328,0.0183090428278282,0.0137458223304429,6.202078808451863e-07,0.0003681022953719,0.0005492996429552,0.0066988781302772,0.0131488624361339,2.2911046840860245e-08,0.0002464026491412
2016,18097310105,1400000US18097310105,0.019225487503432,0.4095030998986759,0.4460630618639742,5.651104187509182e-06,0.0090365469568904,0.0005825905304070303,0.012409184845414421,0.013517062480726491,1.7124558143967218e-07,0.0002738347562694061,0.0010985992859104,0.0291952902892273,0.014344166448488,7.568863137518652e-07,0.0004459356722158,0.0005492996429552,0.0,0.0128651589836907,2.1947197000891083e-08,0.0002340357481215
2016,18097310106,1400000US18097310106,0.0079648448228504,0.1174445674627369,0.1907776489761669,1.251693979553267e-06,0.0038015591517466998,0.0005689174873464571,0.008388897675909779,0.013626974926869064,8.940671282523335e-08,0.00027153993941047855,0.0008239494644328,0.0187631522789248,0.0138327160421854,2.9921847230585e-07,0.0003660400751245,0.0005492996429552,0.0003757378559382,0.0131728516729405,2.196180193798442e-08,0.000249470806164
2016,18097310110,1400000US18097310110,0.0021971985718208,0.0525131913326707,0.060401611539793204,1.364056597586525e-07,0.0010871563984872,0.0005492996429552,0.013128297833167674,0.015100402884948301,3.410141493966312e-08,0.0002717890996218,0.0005492996429552,0.0207151237664132,0.0153751912905603,3.708262837098074e-08,0.0002727815121939,0.0005492996429552,0.0055478983580936,0.0148324784977982,3.076994978300702e-08,0.000270705360115
2016,18097310111,1400000US18097310111,0.0104366932161488,0.2470322723543282,0.27163736346434453,1.6590638944388317e-06,0.0048110121257263,0.0006139231303616941,0.014531310138489894,0.01597866843907909,9.759199379051951e-08,0.00028300071327801764,0.0008239494644328,0.0397482474913642,0.0169370841345742,1.5890735081610958e-07,0.0003669213513382,0.0005492996429552,0.0033117899162048,0.0152034872119832,3.5022279169640953e-08,0.0002476309787278
2016,18097310112,1400000US18097310112,0.0032957978577312,0.007459078909229692,0.0716843303560012,1.5026113488877146e-07,0.0016434540276717,0.0005492996429552,0.0012431798182049485,0.011947388392666868,2.504352248146191e-08,0.00027390900461195,0.0005492996429552,0.0025791121712571,0.0123015667666719,3.274068498733136e-08,0.0002745706004877,0.0005492996429552,1.4260663807491602e-05,0.0116256789621225,2.2038689877095592e-08,0.0002725624521026
2016,18097310201,1400000US18097310201,0.0189508376819544,0.2800072901155181,0.4502631057341832,1.5941031924216202e-06,0.0093492059341068,0.0005573775788810118,0.008235508532809356,0.013243032521593624,4.688538801240059e-08,0.00027497664512078824,0.0008239494644328,0.0260641150967367,0.0148417946972903,4.5765425847583035e-07,0.0003420705499464,0.0005492996429552,0.0001746295552942,0.0116729279661065,2.1940905216639563e-08,0.0002489996102613
