"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total","Margin of Error!!Median gross rent --!!Total","Estimate!!Median gross rent --!!Total!!No bedroom","Margin of Error!!Median gross rent --!!Total!!No bedroom","Estimate!!Median gross rent --!!Total!!1 bedroom","Margin of Error!!Median gross rent --!!Total!!1 bedroom","Estimate!!Median gross rent --!!Total!!2 bedrooms","Margin of Error!!Median gross rent --!!Total!!2 bedrooms","Estimate!!Median gross rent --!!Total!!3 bedrooms","Margin of Error!!Median gross rent --!!Total!!3 bedrooms","Estimate!!Median gross rent --!!Total!!4 bedrooms","Margin of Error!!Median gross rent --!!Total!!4 bedrooms","Estimate!!Median gross rent --!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total!!5 or more bedrooms",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","1200","282","-","**","-","**","963","138","1126","48","3,500+","***","-","**",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1032","144","-","**","740","188","1200","89","1329","309","-","**","-","**",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","827","73","-","**","-","**","887","107","-","**","1707","88","-","**",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","926","36","825","51","825","62","999","71","-","**","-","**","-","**",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1098","59","-","**","-","**","1018","75","1194","288","-","**","-","**",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","965","69","-","**","786","22","1020","75","1201","214","-","**","-","**",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","977","55","-","**","745","29","1038","62","1328","99","-","**","-","**",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1183","109","-","**","808","135","1138","39","1429","108","1412","76","-","**",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","844","83","939","676","625","81","842","22","1144","428","-","**","-","**",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","788","496","-","**","365","67","755","177","1277","326","1670","296","-","**",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","689","96","-","**","616","15","824","73","1064","299","-","**","-","**",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","711","37","-","**","-","**","683","17","961","110","1500","575","-","**",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","915","110","-","**","-","**","844","155","1273","189","-","**","-","**",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","926","48","-","**","727","28","953","36","1196","132","-","**","-","**",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","1140","284","-","**","684","20","879","52","1312","190","-","**","-","**",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1459","162","-","**","-","**","-","**","1333","79","1635","258","-","**",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","784","50","676","148","644","40","873","82","1173","256","-","**","-","**",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","912","119","-","**","793","132","938","93","1125","309","-","**","-","**",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","881","122","-","**","687","27","964","264","1113","54","-","**","-","**",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1673","156","-","**","-","**","1697","73","2538","330","1224","233","-","**",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","882","53","642","62","709","98","963","34","1243","259","-","**","-","**",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","240","149","-","**","219","18","-","**","914","527","-","**","-","**",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","1204","114","-","**","1077","115","1323","116","1784","99","-","**","-","**",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","833","37","632","14","758","15","962","17","1304","263","-","**","-","**",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","877","32","590","230","802","50","967","88","1215","508","-","**","-","**",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1296","101","-","**","1135","31","1382","66","1671","210","-","**","-","**",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","942","28","-","**","864","17","1061","59","1248","190","-","**","-","**",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","1016","97","-","**","867","24","1208","83","-","**","-","**","-","**",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","919","64","-","**","761","43","961","52","1136","68","-","**","-","**",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","898","74","-","**","485","259","1001","94","1192","350","-","**","-","**",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","1085","94","-","**","810","641","1058","85","1170","248","-","**","-","**",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","1165","312","-","**","749","449","1239","315","-","**","-","**","-","**",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","1438","787","-","**","-","**","-","**","-","**","2969","627","-","**",
"1400000US18097320901","Census Tract 3209.01, Marion County, Indiana","874","35","-","**","782","210","863","17","1523","753","-","**","-","**",
"1400000US18097320902","Census Tract 3209.02, Marion County, Indiana","852","37","830","412","768","90","945","101","1026","258","-","**","-","**",
"1400000US18097320903","Census Tract 3209.03, Marion County, Indiana","820","55","-","**","691","133","794","23","1038","99","-","**","-","**",
"1400000US18097321001","Census Tract 3210.01, Marion County, Indiana","788","139","-","**","575","98","862","73","920","585","-","**","-","**",
"1400000US18097321002","Census Tract 3210.02, Marion County, Indiana","1042","78","-","**","750","305","1052","78","1128","12","-","**","-","**",
"1400000US18097321100","Census Tract 3211, Marion County, Indiana","753","73","-","**","347","212","871","81","1112","24","-","**","-","**",
"1400000US18097321200","Census Tract 3212, Marion County, Indiana","1334","169","-","**","-","**","1364","116","1663","175","-","**","-","**",
"1400000US18097321300","Census Tract 3213, Marion County, Indiana","1181","113","-","**","1097","77","1160","119","1451","300","-","**","-","**",
"1400000US18097321400","Census Tract 3214, Marion County, Indiana","1020","95","817","330","747","165","1005","97","1563","423","-","**","-","**",
"1400000US18097321600","Census Tract 3216, Marion County, Indiana","871","27","673","101","814","155","882","37","890","559","-","**","-","**",
