"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1035","123","-","**","825","365","1166","100","1323","177","-","**","-","**",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","1017","242","-","**","301","163","940","103","1321","155","1102","218","-","**",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","1021","77","887","253","858","57","1159","51","-","**","-","**","-","**",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","1210","101","-","**","-","**","1151","80","1473","255","-","**","-","**",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","1118","45","-","**","953","170","1145","24","1333","439","-","**","-","**",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","979","79","-","**","851","38","1047","138","1414","88","-","**","-","**",
"1400000US18097310112","Census Tract 3101.12, Marion County, Indiana","1022","828","-","**","-","**","947","132","-","**","-","**","-","**",
"1400000US18097310113","Census Tract 3101.13, Marion County, Indiana","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1055","147","-","**","904","314","1164","131","-","**","-","**","-","**",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","837","252","-","**","633","38","868","166","1542","650","-","**","-","**",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","887","704","-","**","484","214","842","337","1625","202","1667","478","-","**",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","793","193","-","**","685","29","959","128","1162","187","-","**","-","**",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","850","98","-","**","729","218","743","34","1021","189","-","**","-","**",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","1527","471","-","**","-","**","-","**","1534","449","-","**","-","**",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","956","73","-","**","781","57","1087","99","996","581","-","**","-","**",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","1151","73","-","**","-","**","1127","41","1333","199","-","**","-","**",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1464","212","-","**","-","**","-","**","1304","216","-","**","-","**",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","945","130","595","157","813","71","1097","162","1375","516","-","**","-","**",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","1056","85","-","**","937","177","1057","108","1428","608","-","**","-","**",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","1115","33","915","114","925","151","1131","23","1334","83","-","**","-","**",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","-","**","-","**","-","**","-","**","3125","1103","-","**","-","**",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","1008","61","803","163","832","61","1118","27","1130","13","-","**","-","**",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","-","**","-","**","220","33","961","120","-","**","-","**","-","**",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","1200","56","-","**","1204","62","1275","210","-","**","-","**","-","**",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","928","26","707","31","848","27","1065","52","-","**","-","**","-","**",
"1400000US18097320205","Census Tract 3202.05, Marion County, Indiana","889","58","-","**","840","29","1607","170","-","**","-","**","-","**",
"1400000US18097320206","Census Tract 3202.06, Marion County, Indiana","900","74","818","311","864","97","1042","83","1151","67","-","**","-","**",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1464","58","-","**","1390","103","1482","75","2089","331","-","**","-","**",
