"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!No bedroom","Margin of Error!!Median gross rent!!Total!!No bedroom","Estimate!!Median gross rent!!Total!!1 bedroom","Margin of Error!!Median gross rent!!Total!!1 bedroom","Estimate!!Median gross rent!!Total!!2 bedrooms","Margin of Error!!Median gross rent!!Total!!2 bedrooms","Estimate!!Median gross rent!!Total!!3 bedrooms","Margin of Error!!Median gross rent!!Total!!3 bedrooms","Estimate!!Median gross rent!!Total!!4 bedrooms","Margin of Error!!Median gross rent!!Total!!4 bedrooms","Estimate!!Median gross rent!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms",
"1400000US18097310103","Census Tract 3101.03, Marion County, Indiana","1299","484","-","**","-","**","1032","146","1134","89","2933","2309","-","**",
"1400000US18097310104","Census Tract 3101.04, Marion County, Indiana","1089","77","1375","1072","858","171","1135","69","1182","131","-","**","-","**",
"1400000US18097310105","Census Tract 3101.05, Marion County, Indiana","851","37","-","**","763","149","846","78","1019","113","1417","531","-","**",
"1400000US18097310106","Census Tract 3101.06, Marion County, Indiana","822","44","-","**","753","32","940","76","-","**","-","**","-","**",
"1400000US18097310108","Census Tract 3101.08, Marion County, Indiana","948","71","-","**","-","**","982","90","965","226","-","**","-","**",
"1400000US18097310110","Census Tract 3101.10, Marion County, Indiana","842","41","-","**","738","28","876","49","1375","175","-","**","-","**",
"1400000US18097310111","Census Tract 3101.11, Marion County, Indiana","910","46","-","**","666","26","962","32","1325","557","-","**","-","**",
"1400000US18097310201","Census Tract 3102.01, Marion County, Indiana","1093","93","-","**","675","25","999","262","1161","55","1349","88","-","**",
"1400000US18097310203","Census Tract 3102.03, Marion County, Indiana","795","138","-","**","613","57","828","41","883","104","-","**","-","**",
"1400000US18097310204","Census Tract 3102.04, Marion County, Indiana","575","54","-","**","369","115","641","513","1355","405","1792","229","-","**",
"1400000US18097310305","Census Tract 3103.05, Marion County, Indiana","660","56","-","**","583","17","724","34","1277","155","-","**","-","**",
"1400000US18097310306","Census Tract 3103.06, Marion County, Indiana","736","53","595","141","561","65","688","29","889","150","1196","274","-","**",
"1400000US18097310308","Census Tract 3103.08, Marion County, Indiana","797","118","-","**","-","**","697","150","1174","472","1606","900","-","**",
"1400000US18097310309","Census Tract 3103.09, Marion County, Indiana","817","57","-","**","644","29","906","49","1005","295","-","**","-","**",
"1400000US18097310310","Census Tract 3103.10, Marion County, Indiana","975","187","-","**","623","7","844","25","1263","154","1243","252","-","**",
"1400000US18097310311","Census Tract 3103.11, Marion County, Indiana","1288","533","-","**","-","**","-","**","825","243","-","**","-","**",
"1400000US18097310312","Census Tract 3103.12, Marion County, Indiana","723","46","719","41","610","39","768","27","888","266","-","**","-","**",
"1400000US18097320105","Census Tract 3201.05, Marion County, Indiana","876","64","-","**","736","97","880","55","1226","757","-","**","-","**",
"1400000US18097320106","Census Tract 3201.06, Marion County, Indiana","706","213","-","**","628","7","871","43","918","411","-","**","-","**",
"1400000US18097320107","Census Tract 3201.07, Marion County, Indiana","1525","196","-","**","-","**","1640","138","1465","914","1230","290","-","**",
"1400000US18097320108","Census Tract 3201.08, Marion County, Indiana","806","58","628","49","616","44","875","26","1215","142","-","**","-","**",
"1400000US18097320109","Census Tract 3201.09, Marion County, Indiana","241","72","-","**","229","11","857","50","917","543","-","**","-","**",
"1400000US18097320202","Census Tract 3202.02, Marion County, Indiana","1136","148","975","163","971","95","1275","205","1650","259","-","**","-","**",
"1400000US18097320203","Census Tract 3202.03, Marion County, Indiana","783","25","-","**","713","14","908","29","898","482","-","**","-","**",
"1400000US18097320204","Census Tract 3202.04, Marion County, Indiana","892","54","539","151","758","42","1008","120","1387","209","-","**","-","**",
"1400000US18097320301","Census Tract 3203.01, Marion County, Indiana","1160","57","-","**","1060","111","1205","83","1618","713","-","**","-","**",
"1400000US18097320303","Census Tract 3203.03, Marion County, Indiana","875","15","-","**","816","25","965","57","1179","83","-","**","-","**",
"1400000US18097320304","Census Tract 3203.04, Marion County, Indiana","900","70","-","**","840","27","1116","48","-","**","-","**","-","**",
"1400000US18097320400","Census Tract 3204, Marion County, Indiana","841","53","-","**","683","90","859","46","980","81","1087","534","-","**",
"1400000US18097320500","Census Tract 3205, Marion County, Indiana","749","89","-","**","570","228","858","132","1324","214","-","**","-","**",
"1400000US18097320600","Census Tract 3206, Marion County, Indiana","1091","108","-","**","-","**","933","145","1227","156","-","**","-","**",
"1400000US18097320700","Census Tract 3207, Marion County, Indiana","954","89","-","**","876","74","1102","375","-","**","-","**","-","**",
"1400000US18097320800","Census Tract 3208, Marion County, Indiana","1471","335","-","**","-","**","-","**","-","**","3104","1117","-","**",
